family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,48,522.0,65.27303754266211,37.37373737373738,76.95223654283548,75.65226050587532,78.0739934711643,54.26558845339835,80.5273895486199,50.56666666666666,53.246753246753244,9.98813491615481,916.7960693367913,-0.3377748925186905,-0.41842791578281985,-0.36710326461473747,-0.37810140415075516
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,96,1044.0,65.10238907849829,36.36363636363637,77.02805155420774,75.70205138418642,78.0739934711643,54.35310259406797,80.79717372128175,47.5,52.28758169934641,10.700459210646418,921.2256596542717,-0.004491621801548147,-1.117299560354464,-0.4091490540026084,-0.560895591078006
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,144,1566.0,65.18771331058021,37.37373737373738,77.02805155420774,75.62238597888866,77.85636561479869,54.33815974632288,81.48285438192883,49.266666666666666,52.980132450331126,10.88458190348934,894.1607531174157,-0.06125034936146174,-1.0825519530334864,-0.43263275069674345,-0.5719011511974741
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,192,2088.0,65.18771331058021,36.868686868686865,76.34571645185747,75.65226050587532,78.23721436343853,54.494651391645974,82.277191186053,48.43333333333332,55.666666666666664,12.006482664714676,933.0954373386305,0.20700392064359932,-0.5001163546541206,-0.050130724919207933,-0.14655621700526067
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,240,2610.0,65.01706484641639,36.36363636363637,76.64897649734648,75.64230233021311,78.23721436343853,54.51043183167123,81.00949923979486,49.8,54.516129032258064,11.249321314292912,927.6831860974278,-0.206460141278097,-0.2936629523995116,-0.23817025441315687,-0.2500615468388043
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,288,3132.0,65.52901023890784,36.868686868686865,77.48294162244125,75.74188408683528,78.29162132752992,54.58932157421488,81.45287836274419,51.766666666666666,54.45859872611465,11.383710813280995,892.7751095419757,0.3921510346055418,-0.8232834188318123,-0.049825130280768785,-0.21556619211313527
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,336,3653.9,65.01706484641639,35.858585858585855,76.57316148597423,75.73192591117306,77.9107725788901,54.41909022458741,80.3425466650709,49.93333333333333,52.56410256410257,12.056991939385997,947.511575695203,-0.303440906267198,-0.5315228722235265,-0.38637980297859026,-0.4174818892453622
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,384,4175.9,64.93174061433447,38.88888888888889,76.87642153146324,75.76180043815974,78.0195865070729,54.387241770498726,79.76302876368038,47.599999999999994,54.3046357615894,11.55584648339673,921.7831554153238,-0.39485243451719576,-0.8138075288812183,-0.5471997415586585,-0.604329981699207
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,432,4697.9,64.84641638225256,37.878787878787875,76.87642153146324,75.71200955984864,78.18280739934713,54.391261805425195,80.37252268425556,51.0,56.9078947368421,12.080147746675191,934.1412527067092,-0.04638136797125776,-0.20553550695371584,-0.10425560032851523,-0.1259584374624868
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,478,5198.2,65.27303754266211,33.33333333333333,76.04245640636846,75.61242780322644,78.0739934711643,54.40599653621921,78.9249746228895,51.0,51.9607843137255,12.085631812239754,897.94665098037,-0.7710380369211991,-0.8278505249524042,-0.7916971234780008,-0.7994442809368016
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,48,521.7,65.44368600682594,34.84848484848485,77.48294162244125,75.6920932085242,78.0739934711643,54.38478247472378,80.14396246403986,52.099999999999994,50.0,12.076441788759494,920.5765567383835,-0.29718759090569197,0.3000191294473155,-0.08002151077732561,0.001415769270811773
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,96,1043.3,65.35836177474403,36.36363636363637,76.80060652009098,75.67217685719976,78.0195865070729,54.44281601548045,80.9033364805383,49.56666666666666,53.26797385620915,11.970224831353722,882.5458833244174,0.03037150557347517,-0.9092053457975946,-0.31129280401600473,-0.43941692011205974
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,144,1565.0,65.10238907849829,36.36363636363637,76.26990144048523,75.64230233021311,77.9107725788901,54.39530333247361,80.99825130653333,48.599999999999994,54.19354838709678,11.537378567557957,935.3082227474536,-0.390119241162104,-0.378667101573249,-0.3859548267661567,-0.3843931713676765
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,192,2086.6,65.78498293515358,35.35353535353536,76.95223654283548,75.73192591117306,78.0195865070729,54.32592514274667,79.59691396605452,49.06666666666666,56.451612903225815,11.189544847255627,886.6998022034943,-0.24559233563053168,-1.119935215424234,-0.5635352010100597,-0.6827637755273828
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,240,2608.3,65.44368600682594,39.39393939393939,76.64897649734648,75.63234415455089,77.9107725788901,54.28941140787572,80.47619205929156,50.43333333333332,53.52564102564102,12.041660469623684,881.587615359791,-0.3101494545818068,-0.7834666658401733,-0.4822648041303037,-0.54680806021099
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,288,3129.9,65.18771331058021,36.868686868686865,76.26990144048523,75.70205138418642,78.12840043525571,54.442519088062156,81.45038497852364,48.93333333333333,52.614379084967325,11.722741541963972,917.3051405573806,-0.1803252256047198,-0.969437842960199,-0.46727526827943944,-0.5748815342824594
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,336,3651.6,65.01706484641639,34.84848484848485,76.34571645185747,75.73192591117306,78.34602829162132,54.39031162315848,80.01907161886018,49.86666666666666,51.94805194805194,11.995449700417888,910.0308893856494,-0.2011908777624837,-0.9347311372486438,-0.46793279030290563,-0.5679610075055638
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,384,4173.3,65.35836177474403,36.36363636363637,77.48294162244125,75.71200955984864,78.18280739934713,54.44194869461213,81.3766916226723,50.199999999999996,53.26797385620915,11.750366982100804,890.4927866033356,0.16735591901842592,-1.1890315523273214,-0.325875888743664,-0.5108378166544477
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,432,4694.9,65.27303754266211,37.37373737373738,76.95223654283548,75.65226050587532,77.85636561479869,54.41136012776327,80.28010124248107,51.06666666666666,56.493506493506494,12.091057016374544,917.3190763832757,-0.299302975633926,-0.4879027765600622,-0.3678847214252482,-0.39360287609699407
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,478,5194.8,65.01706484641639,35.858585858585855,76.04245640636846,75.73192591117306,77.9107725788901,54.42284371768928,80.08401042567056,50.633333333333326,52.63157894736842,11.367904701892336,903.9504147375268,-0.48499261786018977,-0.8829342846198969,-0.6296986785000832,-0.6839634512400433
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,48,523.9,65.01706484641639,36.868686868686865,77.33131159969673,75.67217685719976,78.18280739934713,54.29679420998881,80.87585384557418,50.56666666666666,49.34640522875817,11.84107951498587,895.9813960569006,-0.13824154479632517,-0.5896189272207357,-0.3023787747688381,-0.36393023600853047
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,96,1047.9,65.01706484641639,35.35353535353536,76.64897649734648,75.56263692491537,78.12840043525571,54.13949044139904,80.23638390581436,48.66666666666666,52.317880794701985,11.87092224996389,905.8096182884922,-0.6481013990349166,-0.8661119734509874,-0.7273779715498514,-0.7571066862429521
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,144,1571.8,65.18771331058021,35.858585858585855,76.57316148597423,75.65226050587532,78.12840043525571,54.44622683816745,80.98201660483075,48.766666666666666,47.385620915032675,11.51199814715138,920.7608253364284,-0.13217301023684508,-0.8953848900660601,-0.4097046029020141,-0.5137789501514526
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,192,2095.8,64.93174061433447,34.84848484848485,77.02805155420774,75.72196773551086,78.0739934711643,54.38180408884673,80.19266656914765,49.46666666666666,57.096774193548384,11.537303637241571,899.3806283099542,-0.5602937809611214,-0.7502667977927144,-0.6293748779907915,-0.6552802893769178
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,240,2619.7,65.18771331058021,36.868686868686865,76.80060652009098,75.73192591117306,78.0195865070729,54.39436145847913,80.89208854727677,47.9,52.94117647058824,12.209085525345776,891.8738137332414,-0.35491747087486775,-0.9442367815922945,-0.5692154020448411,-0.6495771262335811
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,288,3143.7,65.35836177474403,36.36363636363637,75.9666413949962,75.73192591117306,78.0739934711643,54.536857743013066,79.28967362154638,49.53333333333333,54.87012987012987,12.41433014656926,957.3778841935698,-0.4998050816780947,-0.03414861105042544,-0.33047545599530587,-0.26697684636426006
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,336,3667.6,65.27303754266211,35.35353535353536,75.9666413949962,75.62238597888866,78.0739934711643,54.48229949696035,80.6472936253585,50.5,56.86274509803921,11.257407298961764,886.2656463616652,-0.23669731864899018,-0.7671156191735177,-0.42957670065790926,-0.5019064689112539
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,384,4191.6,65.35836177474403,34.84848484848485,77.25549658832449,75.71200955984864,78.12840043525571,54.45305465865415,81.86378808228832,51.9,55.5921052631579,11.9027873321631,938.6973868886323,-0.04687436490422692,0.17821711411704516,0.03497708201259931,0.06567137460640912
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,432,4715.5,65.35836177474403,36.36363636363637,76.34571645185747,75.78171678948416,77.74755168661589,54.49344364109945,80.34005328085037,48.9,52.27272727272727,12.105472935602045,907.6409268173408,-0.46608530853447666,-1.4881778650445712,-0.837755329083602,-0.9771315867895239
qwen3,4b,ultrafeedback_binarized,1e-06,0.04,478,5217.6,65.01706484641639,35.35353535353536,76.64897649734648,75.74188408683528,77.9651795429815,54.44774978967604,80.72098698120985,48.766666666666666,54.93421052631579,12.442519690030055,912.9694567485928,-0.2723503471435212,-0.49604102208734996,-0.35369241075945895,-0.3841956846154356
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,48,519.3,65.10238907849829,35.858585858585855,77.17968157695225,75.67217685719976,78.12840043525571,54.33103364491502,80.43247472262486,46.766666666666666,48.38709677419355,11.49478347670909,905.873579210818,-0.45516588240301753,-1.1365105103374298,-0.7029275652882583,-0.7958381963702237
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,96,1038.5,65.18771331058021,36.36363636363637,75.9666413949962,75.71200955984864,78.23721436343853,54.48048617721645,79.87168490715746,49.2,59.150326797385624,12.39097004408288,920.5576191071219,-0.2463012867652504,0.25689905721734785,-0.06331934349885107,0.005298885226048725
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,144,1557.8,65.78498293515358,35.858585858585855,76.42153146322971,75.82154949213304,77.9651795429815,54.59060370559874,79.77677008116243,49.966666666666654,55.16129032258065,12.402852320418877,924.4292633725724,-0.0745858730883617,-0.1907101562009822,-0.1168128851293146,-0.13264801464467196
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,192,2077.1,65.27303754266211,35.35353535353536,75.5117513267627,75.82154949213304,78.18280739934713,54.8633855337408,80.16019716574246,49.86666666666666,54.276315789473685,13.37412368827392,936.3147783422352,-0.30448397023128926,-0.2077874699077157,-0.26932160647726244,-0.25613572006950247
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,240,2596.4,65.78498293515358,35.35353535353536,75.73919636087946,75.97092212706632,78.0195865070729,54.91069148013229,80.31007726166571,50.7,51.94805194805194,13.759612187694362,906.692674509028,-0.2868044769185278,-0.21723644842004453,-0.2615070120099884,-0.2520204626692861
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,288,3115.6,65.52901023890784,35.858585858585855,74.75360121304018,75.94104760007967,77.9107725788901,54.95181295914466,79.88542622463952,50.06666666666666,51.973684210526315,12.664880597056378,920.6980299436949,-0.48865446819248615,-0.7108221216266932,-0.5694427058049251,-0.5997382949095897
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,336,3634.9,65.44368600682594,34.34343434343434,74.67778620166793,75.98088030272854,78.0195865070729,55.02175066325147,80.01907161886018,52.13333333333333,54.87012987012987,13.327242108961991,897.9026761579377,-0.3628811693497989,-0.3441718085175626,-0.3560777654108039,-0.35352648893368077
qwen3,4b,ultrafeedback_binarized,2e-06,0.01,384,4154.2,65.18771331058021,34.84848484848485,74.98104624715694,75.98088030272854,78.0739934711643,54.99661095620985,80.26386654077847,52.3,58.16993464052288,13.042467670123676,899.780512083961,-0.46430993487360933,0.014168079558689262,-0.2903179296255008,-0.22507092765746003
