family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,48,1630.6,69.28327645051195,36.36363636363637,86.05003790750568,80.79067914758016,79.97823721436343,54.434925611946284,87.0969582928851,47.8,58.70967741935483,13.550528137181823,1094.689502197888
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,96,3261.2,69.6245733788396,35.35353535353536,85.97422289613344,80.91017725552678,79.76060935799782,54.94091905557874,87.94875375115804,48.9,58.387096774193544,13.018129211602089,1054.8192237396986
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,144,4891.8,69.7098976109215,34.34343434343434,86.65655799848369,81.09938259310894,79.86942328618063,55.58656503488151,87.02077155281322,47.733333333333334,57.14285714285714,12.901686290113146,1066.067797593481
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,192,6522.4,69.6245733788396,35.858585858585855,86.65655799848369,81.32842063333997,80.03264417845483,55.980667117560046,87.4179399548753,48.599999999999994,57.14285714285714,16.140973725437487,1092.2108808017424
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,240,8153.0,69.88054607508532,34.84848484848485,86.65655799848369,81.3981278629755,80.25027203482045,56.24519499785572,88.37589817240477,48.6,60.130718954248366,14.633964966197343,1036.4918387840044
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,288,9783.6,69.96587030716724,34.84848484848485,87.41470811220621,81.37821151165106,79.70620239390642,56.53273432980407,87.75266293434754,45.766666666666666,57.14285714285714,14.145019056301797,1043.7182751758894
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,336,11414.2,69.88054607508532,35.35353535353536,87.41470811220621,81.42800238996216,79.65179542981502,56.762321878744345,87.81261497271684,44.86666666666666,57.84313725490197,14.095965640450364,1037.822636294656
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,384,13044.7,70.05119453924915,35.858585858585855,87.49052312357847,81.42800238996216,79.70620239390642,56.92352010089873,87.88880171278873,48.199999999999996,57.64331210191082,17.003372229491067,1051.134923048567
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,432,14675.3,69.7952218430034,34.84848484848485,87.71796815769522,81.38816968731328,79.59738846572361,57.02173602594763,87.3092838113982,46.03333333333333,58.70967741935483,14.53099492436034,1085.2695991311966
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,478,16238.0,70.30716723549489,36.36363636363637,87.86959818043972,81.37821151165106,79.5429815016322,57.008841240660644,87.4017052531727,43.36666666666667,56.493506493506494,14.807073787711673,1016.5743072992351
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,48,1626.6,69.19795221843003,34.34343434343434,85.82259287338894,80.75084644493128,80.25027203482045,54.4612599229061,87.14316901377235,49.56666666666666,54.22077922077923,13.240035844645345,1066.4938891256795
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,96,3253.2,69.28327645051195,35.858585858585855,86.27748294162244,80.98984266082454,80.03264417845483,54.96700128107154,86.8246807360027,47.03333333333333,56.493506493506494,13.030396234969317,1049.2696259036857
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,144,4879.9,69.53924914675767,34.34343434343434,86.73237300985596,81.03963353913562,79.97823721436343,55.54740998237687,87.21935575384425,48.56666666666666,59.47712418300654,13.144070168803456,1079.5625932344692
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,192,6506.5,69.7952218430034,35.35353535353536,86.88400303260046,81.30850428201553,80.25027203482045,55.88627930215364,86.1989521137249,50.39999999999999,56.774193548387096,14.71748092713414,1056.5272441729098
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,240,8133.1,69.6245733788396,35.858585858585855,86.88400303260046,81.36825333598885,79.70620239390642,56.096467097187904,86.77847001511546,49.26666666666666,58.16993464052288,14.416524338078846,1076.46153778931
