family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,48,522.0,65.27303754266211,37.37373737373738,76.95223654283548,75.65226050587532,78.0739934711643,54.26558845339835,80.5273895486199,50.56666666666666,53.246753246753244,9.98813491615481,916.7960693367913
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,96,1044.0,65.10238907849829,36.36363636363637,77.02805155420774,75.70205138418642,78.0739934711643,54.35310259406797,80.79717372128175,47.5,52.28758169934641,10.700459210646418,921.2256596542717
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,144,1566.0,65.18771331058021,37.37373737373738,77.02805155420774,75.62238597888866,77.85636561479869,54.33815974632288,81.48285438192883,49.266666666666666,52.980132450331126,10.88458190348934,894.1607531174157
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,192,2088.0,65.18771331058021,36.868686868686865,76.34571645185747,75.65226050587532,78.23721436343853,54.494651391645974,82.277191186053,48.43333333333332,55.666666666666664,12.006482664714676,933.0954373386305
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,240,2610.0,65.01706484641639,36.36363636363637,76.64897649734648,75.64230233021311,78.23721436343853,54.51043183167123,81.00949923979486,49.8,54.516129032258064,11.249321314292912,927.6831860974278
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,288,3132.0,65.52901023890784,36.868686868686865,77.48294162244125,75.74188408683528,78.29162132752992,54.58932157421488,81.45287836274419,51.766666666666666,54.45859872611465,11.383710813280995,892.7751095419757
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,336,3653.9,65.01706484641639,35.858585858585855,76.57316148597423,75.73192591117306,77.9107725788901,54.41909022458741,80.3425466650709,49.93333333333333,52.56410256410257,12.056991939385997,947.511575695203
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,384,4175.9,64.93174061433447,38.88888888888889,76.87642153146324,75.76180043815974,78.0195865070729,54.387241770498726,79.76302876368038,47.599999999999994,54.3046357615894,11.55584648339673,921.7831554153238
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,432,4697.9,64.84641638225256,37.878787878787875,76.87642153146324,75.71200955984864,78.18280739934713,54.391261805425195,80.37252268425556,51.0,56.9078947368421,12.080147746675191,934.1412527067092
qwen3,4b,ultrafeedback_binarized,1e-06,0.01,478,5198.2,65.27303754266211,33.33333333333333,76.04245640636846,75.61242780322644,78.0739934711643,54.40599653621921,78.9249746228895,51.0,51.9607843137255,12.085631812239754,897.94665098037
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,48,521.7,65.44368600682594,34.84848484848485,77.48294162244125,75.6920932085242,78.0739934711643,54.38478247472378,80.14396246403986,52.099999999999994,50.0,12.076441788759494,920.5765567383835
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,96,1043.3,65.35836177474403,36.36363636363637,76.80060652009098,75.67217685719976,78.0195865070729,54.44281601548045,80.9033364805383,49.56666666666666,53.26797385620915,11.970224831353722,882.5458833244174
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,144,1565.0,65.10238907849829,36.36363636363637,76.26990144048523,75.64230233021311,77.9107725788901,54.39530333247361,80.99825130653333,48.599999999999994,54.19354838709678,11.537378567557957,935.3082227474536
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,192,2086.6,65.78498293515358,35.35353535353536,76.95223654283548,75.73192591117306,78.0195865070729,54.32592514274667,79.59691396605452,49.06666666666666,56.451612903225815,11.189544847255627,886.6998022034943
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,240,2608.3,65.44368600682594,39.39393939393939,76.64897649734648,75.63234415455089,77.9107725788901,54.28941140787572,80.47619205929156,50.43333333333332,53.52564102564102,12.041660469623684,881.587615359791
qwen3,4b,ultrafeedback_binarized,1e-06,0.02,288,3129.9,65.18771331058021,36.868686868686865,76.26990144048523,75.70205138418642,78.12840043525571,54.442519088062156,81.45038497852364,48.93333333333333,52.614379084967325,11.722741541963972,917.3051405573806
