family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
llama,1b,1e-06,0.01,200,681.9,39.93174061433447,29.29292929292929,14.783927217589085,64.90738896634136,74.9727965179543,40.998700022819456,53.90441805520463,48.86666666666666,54.729729729729726,0.1372878957912619,553.0305458517039,-0.2462112515508353,-0.8108732722245691,-0.451542895432193,-0.5285422618877021
llama,1b,1e-06,0.01,400,1363.8,39.50511945392491,26.767676767676768,14.329037149355573,65.55467038438559,75.24483133841132,41.41820479723065,53.48602818299888,48.99999999999999,60.273972602739725,0.1131698795527174,533.7001807674097,-0.7768534275143463,-1.148983939619218,-0.9121736137342996,-0.9629186835667822
llama,1b,1e-06,0.01,600,2045.7,40.1877133105802,28.78787878787879,15.011372251705838,65.88329018123879,75.40805223068553,41.60120759470734,50.796996413959405,48.43333333333333,65.97222222222221,0.1008001979333833,585.7573569696945,-0.3748849900339656,-0.992623381297382,-0.5995171323115717,-0.6837541856656738
llama,1b,1e-06,0.01,800,2727.6,39.93174061433447,26.262626262626267,15.08718726307809,66.07249551882094,75.24483133841132,41.59110729322996,50.53846017455905,47.766666666666666,63.85135135135135,0.1470578437701925,595.2012559700036,-0.6365774896944041,-1.111332701779753,-0.809215748634531,-0.8739550957370785
llama,1b,1e-06,0.01,1000,3409.5,39.67576791808874,26.767676767676768,15.99696739954511,66.25174268074089,75.24483133841132,41.698712421646064,50.42731064686144,50.4,61.11111111111112,0.098135247769127,608.9941537809457,-0.4951457062929427,-1.012227312735573,-0.6831753813629902,-0.7536865095142579
llama,1b,1e-06,0.01,1200,4091.4,40.27303754266212,27.27272727272727,15.08718726307809,66.23182632941645,75.40805223068553,41.61672695345561,49.91273155228127,48.56666666666666,68.30985915492957,0.1652332741172629,595.2857102204274,-0.2922359714644695,-0.903029026512102,-0.5143425369363359,-0.5976324989882857
llama,1b,1e-06,0.01,1400,4773.3,40.1877133105802,29.7979797979798,15.314632297194844,66.10237004580762,75.1360174102285,41.62040193129819,50.45102550122563,48.03333333333333,68.79432624113475,0.1505426752405772,559.776737451477,-0.2604248464873999,-1.1255042040806742,-0.5749991583394997,-0.6929645252840371
llama,1b,1e-06,0.01,1600,5455.2,39.84641638225256,28.28282828282828,15.390447308567095,66.18203545110536,75.40805223068553,41.619525017654944,50.03762239746096,47.96666666666666,67.73049645390071,0.1404751534203244,586.8077278422425,-0.4157702042081125,-1.1449481606628646,-0.6809258247371133,-0.7803591824354885
llama,1b,1e-06,0.01,1800,6137.1,40.01706484641638,28.28282828282828,15.845337376800606,66.14220274845648,75.1360174102285,41.63998088964041,50.383593310194726,52.73333333333333,64.90066225165563,0.1011341347001567,579.2950795238379,-0.405308094600481,-1.2209406797813678,-0.7019017619389853,-0.8131243871909244
llama,1b,1e-06,0.01,2000,6819.0,40.1877133105802,28.28282828282828,15.238817285822591,66.20195180242979,75.0272034820457,41.61867183871502,49.01971214156217,49.66666666666666,72.6027397260274,0.0995022690228266,626.2670272605557,-0.6725635283003978,-0.355001087240428,-0.5570862770058633,-0.5137823077704129
llama,1b,1e-06,0.01,2031,6924.7,39.84641638225256,27.77777777777778,15.693707354056102,66.14220274845648,75.1904243743199,41.592358023424126,49.58925650607056,46.56666666666666,65.49295774647888,0.1007825232402049,594.9710521014426,-0.5121207199961774,-1.0246156219536544,-0.698482502526169,-0.7683681709749159
llama,1b,1e-06,0.02,200,684.5,39.67576791808874,27.77777777777778,14.404852160727824,65.02688707428798,75.0816104461371,41.07279401941888,54.633816052518426,50.03333333333333,51.70068027210885,0.1099237966791673,534.5776378056712,-0.5323625112823984,-1.0691560410552037,-0.7275601584725094,-0.8007592761688009
llama,1b,1e-06,0.02,400,1368.9,39.93174061433447,27.77777777777778,14.556482183472328,65.55467038438559,75.1904243743199,41.37336151996202,52.3919311870282,49.6,55.66666666666666,0.145517873177552,553.1682120874224,-0.6066351052260256,-1.1670239151348671,-0.8104128542837862,-0.8868295101804464
llama,1b,1e-06,0.02,600,2053.4,40.01706484641638,27.77777777777778,15.08718726307809,65.87333200557659,75.1904243743199,41.61998628812719,51.96478676578147,47.03333333333333,61.37931034482759,0.1516853643571129,594.4331581262692,-0.5644715897578098,-1.142837385933669,-0.7747864247308495,-0.8536544878457393
llama,1b,1e-06,0.02,800,2737.9,40.1877133105802,27.77777777777778,15.5420773313116,66.06253734315874,75.0816104461371,41.574121313612245,51.60756791978617,49.2,67.46575342465754,0.1027144552402393,581.6244367059315,-0.3593890536514629,-0.9943722160847022,-0.5902920218090044,-0.6768806348680826
llama,1b,1e-06,0.02,1000,3422.3,40.1023890784983,28.28282828282828,15.693707354056102,66.17207727544314,75.1360174102285,41.65864029890461,50.617140298851496,49.43333333333334,68.02721088435374,0.1430058408579196,599.2806233422664,-0.3969671765522849,-0.8003038554095299,-0.5436350597731013,-0.5986355159809074
llama,1b,1e-06,0.02,1200,4106.8,40.1023890784983,28.28282828282828,14.935557240333583,66.06253734315874,74.9183895538629,41.69085551167073,50.64212954959507,48.06666666666666,60.40268456375839,0.1078583679511356,616.0519495908095,-0.4974399450743639,-1.0446394898173237,-0.6964215977081675,-0.7710397174458439
