family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,14b,1e-07,0.01,600,10348.5,69.19795221843003,35.858585858585855,87.86959818043972,81.35829516032663,80.08705114254624,56.08955571750501,88.59071707513841,60.9,64.3312101910828,22.69697344753665,1144.0811029078743,-0.7728014628396166,-1.867102340974497,-1.170729054888664
qwen3,14b,1e-07,0.01,800,13798.0,69.6245733788396,35.858585858585855,87.86959818043972,81.59729137621987,80.03264417845483,57.005333917789535,88.50078901758445,63.133333333333326,75.15923566878982,31.944702071280663,1165.9250687157723,-0.7195882136501301,-1.3451577630393237,-0.947068049791655
qwen3,14b,1e-07,0.01,1000,17247.5,69.7098976109215,36.36363636363637,88.24867323730099,81.7167894841665,80.14145810663766,57.914707170984045,86.35381897808925,65.8,76.79738562091504,34.57602016425315,1179.6568889931766,-0.5739161617949682,-0.920610558368552,-0.6999868514580896
qwen3,14b,1e-07,0.01,1200,20697.0,70.13651877133105,37.37373737373738,88.855193328279,81.84624576777534,80.25027203482045,58.68251278356179,86.84091543770529,69.86666666666666,80.57324840764332,39.15488510587823,1198.661242853929,-0.28755146624763006,-0.4579434584006996,-0.34951219066692807
qwen3,14b,1e-07,0.01,1400,24146.5,69.96587030716724,36.86868686868687,88.855193328279,82.00557657837084,80.46789989118606,59.29722603996388,86.87089145688994,68.9,84.53947368421053,41.47698503779207,1216.6523770983597,-0.264841716279644,0.1701592863567445,-0.10665953350277543
qwen3,14b,1e-07,0.01,1600,27596.0,70.13651877133105,37.37373737373738,88.62774829416225,82.06532563234416,80.46789989118606,59.76279699461544,87.61901754012686,70.06666666666666,84.53947368421053,43.96530534921631,1243.9753370358187,-0.153801323927694,0.43929954149436456,0.06187171804396366
qwen3,14b,1e-07,0.01,1800,31045.5,70.22184300341297,36.86868686868687,89.0068233510235,82.17486556462856,80.46789989118606,60.04701592380951,87.70894559768082,71.5,82.45033112582782,44.41280402449478,1230.0853536373295,-0.11647196023608057,0.2974970477687549,0.034062224492950495
qwen3,14b,1e-07,0.01,2000,34495.0,70.39249146757679,36.36363636363637,88.40030326004549,82.12507468631746,80.35908596300327,60.13815740766344,87.21935575384424,70.73333333333332,82.9032258064516,46.08958521026811,1227.401496536285,-0.20858743045112896,0.4264037432627385,0.022318450899368292
qwen3,14b,1e-07,0.01,2031,35029.7,70.4778156996587,35.858585858585855,88.47611827141773,82.04540928101972,80.46789989118606,60.110238932380526,87.13192108051082,71.63333333333333,83.54838709677419,43.332588598575285,1233.2863283386675,-0.37227413272855225,0.39296228914372133,-0.09400634295681641
qwen3,14b,4e-07,0.01,200,6820.7,69.28327645051195,36.86868686868687,86.8081880212282,81.23879705238001,80.25027203482045,55.66604061646208,87.40170525317271,58.23333333333333,64.74358974358975,20.365830358153016,1116.4313374681933,-0.23563397841962425,-1.0098647108851677,-0.5171724265889127
qwen3,14b,4e-07,0.01,400,13641.3,70.64846416382252,36.86868686868687,89.76497346474602,82.21469826727743,80.35908596300327,61.39233661401639,87.37422261820858,72.3,81.61290322580645,48.8778916459021,1258.5026567930386,0.24353402993062284,0.45887592617508727,0.321840174019519
qwen3,14b,4e-07,0.01,600,20462.0,71.33105802047781,36.86868686868687,91.28127369219104,82.31428002389963,79.27094668117519,65.05852839528566,85.62192759655491,76.8,85.06493506493507,55.7149872758523,1263.9251363101453,0.25956484240387895,1.039917223924544,0.5433293447750299
qwen3,14b,4e-07,0.01,800,27282.7,71.84300341296928,37.87878787878788,91.12964366944657,82.16490738896634,79.21653971708379,65.6936059679473,86.70228327504356,78.86666666666666,83.87096774193549,56.38956943193237,1282.084001627845,0.35951491433946814,1.3313807868605694,0.7129206861653231
qwen3,14b,4e-07,0.01,1000,34103.4,71.9283276450512,36.86868686868687,91.81197877179682,82.15494921330412,78.94450489662677,66.21585201006309,87.32801189732133,78.86666666666666,87.66233766233766,56.75473490165457,1291.5011463108217,0.302516723229718,1.7697806738681465,0.8360672507346011
qwen3,14b,4e-07,0.01,1200,40924.0,72.09897610921502,36.86868686868687,92.26686884003033,82.0952001593308,78.61806311207835,66.44128191047366,87.73892161686547,75.96666666666665,86.62420382165605,54.38980245241101,1286.7591673500651,0.3174054412134127,1.569419953160842,0.7726834455579324
