family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,1.7b,1e-06,0.01,200,1234.7,56.74061433447098,22.22222222222222,34.874905231235786,67.38697470623381,75.29923830250273,47.30731791258,40.24571470365298,51.83333333333333,54.63576158940398,4.814955547216571,727.1469132028778,-0.6283301876702094,-1.0961045093499036,-0.7984299410082801
qwen3,1.7b,1e-06,0.01,400,2469.4,57.16723549488054,23.737373737373737,37.37680060652009,67.50647281418044,75.62568008705114,47.19304311445048,40.60165915326889,55.133333333333326,60.13513513513513,5.776712732873563,792.3907540267903,-0.642939117435934,-1.3660328565904059,-0.9058822953102873
qwen3,1.7b,1e-06,0.01,600,3704.2,57.76450511945392,20.707070707070702,39.72706595905989,67.66580362477595,75.62568008705114,47.24352352221783,39.82355705084731,58.266666666666666,66.22516556291392,5.3722733193908105,824.879337589205,-0.9906857683395863,-1.2326954435703716,-1.0786892866053264
qwen3,1.7b,1e-06,0.01,800,4938.9,57.5938566552901,23.232323232323232,41.015921152388174,67.67576180043817,75.73449401523395,47.33075755417174,41.83438831190131,58.266666666666666,66.78321678321679,6.011282608004024,819.5562748996696,-0.7304847463560931,-1.304315312414333,-0.9391504067409074
qwen3,1.7b,1e-06,0.01,1000,6173.6,57.67918088737202,21.71717171717172,42.15314632297195,67.51643098984266,75.68008705114254,47.31209748160815,40.71031529674597,59.23333333333333,68.70748299319727,6.773768844688542,832.6963103322948,-0.9253691664696466,-1.1968160614827954,-1.0240771282926098
qwen3,1.7b,1e-06,0.01,1200,7408.3,57.16723549488054,23.737373737373737,41.16755117513268,67.66580362477595,75.73449401523395,47.37764095269204,39.98091729943217,59.33333333333333,63.60544217687075,6.023257882880414,798.9838837956462,-0.7218984263983418,-1.460811027415866,-0.9905939176774414
qwen3,1.7b,1e-06,0.01,1400,8643.0,57.76450511945392,21.71717171717172,40.86429112964367,67.79525990838479,75.62568008705114,47.40441334629296,39.21655651449266,58.83333333333333,70.74829931972789,5.722454813612539,791.2415940255275,-0.8880732051067703,-1.2903325500484382,-1.0343493305401041
qwen3,1.7b,1e-06,0.01,1600,9877.7,57.67918088737202,21.21212121212121,41.69825625473844,67.57618004381597,75.84330794341676,47.38754493521216,39.75235707921648,55.23333333333333,68.83116883116884,5.679001299346672,802.5254368586698,-0.9619763894183737,-1.46295832602356,-1.144151639092987
qwen3,1.7b,1e-06,0.01,1800,11112.5,57.5938566552901,20.707070707070702,41.9257012888552,67.54630551682932,75.51686615886834,47.33895819778529,39.82605043506784,57.83333333333333,58.333333333333336,6.087313537740224,831.6095274769929,-1.0468847216804933,-1.610412055831676,-1.2518037522809236
qwen3,1.7b,1e-06,0.01,2000,12347.2,57.508532423208194,20.707070707070702,41.77407126611069,67.59609639514042,75.62568008705114,47.3850730703105,40.21573868446833,60.5,66.11842105263158,5.762843260747009,797.3751567718045,-1.0138294893752424,-1.4747210201228853,-1.1814264096471125
qwen3,1.7b,1e-06,0.01,2031,12538.6,57.5938566552901,19.696969696969692,40.33358605003791,67.54630551682932,75.40805223068553,47.26516381307624,65.92197591280026,58.266666666666666,63.85135135135135,6.037494891639752,854.5315118359919,-0.8435016659776775,-1.2524418589917024,-0.9922071907100503
qwen3,1.7b,1e-06,0.02,200,1228.4,56.8259385665529,21.71717171717172,34.950720242608035,67.3770165305716,75.62568008705114,47.36166358856151,40.41930965394043,55.46666666666667,56.9078947368421,4.155658162477762,801.44180380895,-0.402928752529441,-0.7244771766208922,-0.5198554521990596
qwen3,1.7b,1e-06,0.02,400,2456.7,57.08191126279864,22.727272727272727,37.37680060652009,67.61601274646485,75.78890097932536,47.34722140973195,41.13745971799271,55.9,60.738255033557046,5.014910320631731,779.8867025130045,-0.6555083288295054,-1.3999093908040838,-0.9261996240929885
qwen3,1.7b,1e-06,0.02,600,3685.1,57.33788395904437,21.71717171717172,39.27217589082638,67.58613821947819,75.68008705114254,47.3403747795318,40.12581062691436,56.16666666666666,59.45945945945946,5.955979820875958,776.0720822547881,-0.9367026201455051,-1.6500408363479082,-1.196098335128197
qwen3,1.7b,1e-06,0.02,800,4913.5,57.84982935153583,22.22222222222222,41.16755117513268,67.69567815176259,75.40805223068553,47.43539361943038,40.52547241319699,57.46666666666666,65.23178807947019,5.607003052315947,837.1340772043526,-0.9893912601281721,-1.3349843939707577,-1.1150614906163852
qwen3,1.7b,1e-06,0.02,1000,6141.8,57.25255972696246,22.22222222222222,40.56103108415466,67.71559450308703,75.73449401523395,47.43629642871172,40.52048564475591,55.3,65.23178807947019,5.676340501375362,793.0686711312912,-0.8912868866679066,-1.6495210401118225,-1.1670083970111487
qwen3,1.7b,1e-06,0.02,1200,7370.2,57.423208191126285,23.232323232323232,41.39499620924943,67.59609639514042,75.78890097932536,47.40734261989565,40.47926169230974,57.66666666666666,67.43421052631578,6.119511889033031,840.1005883062783,-0.7167186682125788,-1.241492959856917,-0.9075456833559745
qwen3,1.7b,1e-06,0.02,1400,8598.6,57.5938566552901,22.727272727272727,41.24336618650493,67.43676558454491,75.62568008705114,47.39520317768366,40.57417651830476,58.7,65.33333333333333,5.820692742287893,803.9638628899376,-0.8225683711049763,-1.4187669446762379,-1.039367852403617
qwen3,1.7b,1e-06,0.02,1600,9827.0,57.25255972696246,21.71717171717172,41.31918119787718,67.67576180043817,75.68008705114254,47.30697063616744,39.01547892924109,59.5,70.52980132450331,6.0040681060277805,809.6843867722997,-1.0754313967417923,-1.2173613516454438,-1.127042289434029
qwen3,1.7b,1e-06,0.02,1800,11055.3,57.67918088737202,21.21212121212121,42.0773313115997,67.60605457080263,75.51686615886834,47.41922548419532,40.557941816602174,59.6,69.33333333333334,6.261545394426249,813.3035689188825,-0.9542902307395853,-1.262973778751046,-1.0665387936528437
qwen3,1.7b,1e-06,0.02,2000,12283.7,57.508532423208194,22.727272727272727,41.84988627748294,67.69567815176259,75.40805223068553,47.39856202173208,41.679521447536985,59.86666666666667,68.83116883116884,5.762694648849291,806.3375989621456,-0.8189497081716259,-1.3712988959220653,-1.0198039582626948
qwen3,1.7b,1e-06,0.02,2031,12474.1,57.33788395904437,21.21212121212121,41.84988627748294,67.65584544911373,75.73449401523395,47.50910793225431,65.34744477985079,58.2,65.2027027027027,6.019987427367459,815.4523458407135,-0.6420867908337973,-1.3648232559938132,-0.9049000508919849
qwen3,1.7b,1e-06,0.04,200,1235.9,57.08191126279864,23.232323232323232,34.42001516300228,67.34714200358495,75.46245919477693,47.35078652706834,40.626648404012464,51.23333333333333,56.333333333333336,4.999794575025382,746.4058345528723,-0.2870489953087832,-1.0063427912606233,-0.5486103756549068
qwen3,1.7b,1e-06,0.04,400,2471.9,57.16723549488054,23.232323232323232,38.28658074298711,67.57618004381597,75.1360174102285,47.29619181928549,40.860195392669226,55.8,62.903225806451616,4.926347067383874,808.5130063036171,-0.8810760241732254,-1.253790694836506,-1.0166086316871457
qwen3,1.7b,1e-06,0.04,600,3707.8,57.508532423208194,23.232323232323232,39.57543593631539,67.65584544911373,75.46245919477693,47.26394356426257,41.67076689849599,59.16666666666666,63.1578947368421,5.932386511710762,825.1549246581271,-0.8440030621029686,-1.2647907326536083,-0.9970167604850194
qwen3,1.7b,1e-06,0.04,800,4943.7,57.423208191126285,23.232323232323232,40.78847611827142,67.5363473411671,75.40805223068553,47.43805867015536,39.65494886900092,59.6,63.90728476821192,5.6169047404978665,794.3094004921938,-0.9685251728198386,-1.447698881146782,-1.1427701576659999
qwen3,1.7b,1e-06,0.04,1000,6179.6,57.33788395904437,22.22222222222222,40.40940106141016,67.61601274646485,75.35364526659413,47.50045911465668,40.49300300979179,59.76666666666666,65.359477124183,6.264677478559364,807.8175272262567,-1.0749468773839521,-1.4120132542434876,-1.1975164689692375
qwen3,1.7b,1e-06,0.04,1200,7415.6,57.25255972696246,21.71717171717172,40.94010614101592,67.62597092212707,75.46245919477693,47.46450796152283,40.0358825693604,57.99999999999999,62.5,6.666584724375714,790.6263777118986,-1.0714311485176111,-1.5449456479088475,-1.2436182392053334
qwen3,1.7b,1e-06,0.04,1400,8651.5,57.67918088737202,20.707070707070702,39.80288097043215,67.63592909778929,75.46245919477693,47.44695893700877,39.49382083981613,55.96666666666667,61.8421052631579,6.1086660137973645,816.0263184852959,-1.1605947577109945,-1.5688057392518595,-1.3090351146349455
qwen3,1.7b,1e-06,0.04,1600,9887.4,57.423208191126285,24.24242424242424,42.15314632297195,67.65584544911373,75.68008705114254,47.37997413149474,40.4168162697199,59.13333333333333,62.0,5.966423114197175,809.2255664335264,-0.6558833435362442,-1.5434127577194932,-0.9786213123301531
qwen3,1.7b,1e-06,0.04,1800,11123.4,57.25255972696246,20.2020202020202,40.33358605003791,67.59609639514042,75.40805223068553,47.45379848565209,39.96717598195011,58.93333333333333,68.33333333333333,6.396544833336047,819.2184410904514,-1.2243398158738497,-1.2874121968036654,-1.2472752271210554
qwen3,1.7b,1e-06,0.04,2000,12359.3,56.8259385665529,21.71717171717172,40.86429112964367,67.50647281418044,75.1904243743199,47.44381753824005,41.21990762288505,56.73333333333333,66.0,6.624421166285847,832.9813051235744,-1.1626074178787857,-1.4386947277851345,-1.2630028032992764
qwen3,1.7b,1e-06,0.04,2031,12550.9,57.33788395904437,22.727272727272727,41.015921152388174,67.67576180043817,75.29923830250273,47.3650722914064,64.99150033023489,56.6,63.26530612244898,5.675274954313481,809.9902508035586,-0.7553125148688657,-1.511587061032872,-1.0303214407466863
qwen3,1.7b,2e-06,0.01,200,1228.2,57.16723549488054,23.737373737373737,39.12054586808188,67.59609639514042,75.68008705114254,47.13689007732892,40.50923771149439,58.13333333333333,61.58940397350994,6.968786883099183,765.8002542059928,0.09715082849656698,-0.5114392599286027,-0.12415465820349474
qwen3,1.7b,2e-06,0.01,400,2456.4,57.84982935153583,22.22222222222222,47.76345716451858,68.15375423222466,75.89771490750816,47.210308434914914,42.169111291373554,68.43333333333332,79.05405405405406,13.109597604479283,915.9602997274844,-0.20774740861472893,0.2240520848923804,-0.05072941097578009
qwen3,1.7b,2e-06,0.01,600,3684.6,58.44709897610921,23.737373737373737,53.22213798332069,68.47241585341565,75.89771490750816,47.677372758789176,43.37812559564178,68.83333333333333,79.13907284768213,17.221611852454544,946.8224179288648,0.14255670268815526,0.4267414277111691,0.2458966026965239
qwen3,1.7b,2e-06,0.01,800,4912.8,58.61774744027304,21.71717171717172,53.070507960576194,68.48237402907787,75.68008705114254,47.83585878860893,44.05255832302735,70.5,73.44827586206897,17.70606569951659,992.2612914472436,-0.3112819009563212,0.395205908784598,-0.05437724286871423
qwen3,1.7b,2e-06,0.01,1000,6141.0,58.19112627986348,20.2020202020202,53.449583017437455,68.47241585341565,76.06093579978237,47.84375500935495,44.41476393746371,73.16666666666666,76.73611111111111,18.48103171962871,947.7426771993538,-0.3683684866258236,0.4796760546169091,-0.0599886534466481
qwen3,1.7b,2e-06,0.01,1200,7369.3,58.70307167235495,22.727272727272727,53.82865807429871,68.52220673172674,76.16974972796517,48.00653864846552,43.67788578748831,71.43333333333334,81.0,17.211167636260885,953.0322324146292,0.09007080562309566,0.5111435696628792,0.24318817436483517
qwen3,1.7b,2e-06,0.01,1400,8597.5,58.10580204778157,21.21212121212121,54.05610310841546,68.41266679944235,75.73449401523395,48.15225442498859,45.51135431765493,71.1,81.08108108108108,16.86494786656862,964.4430421788062,-0.2531201102747342,0.5055287872885428,0.022752216111911975
