family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,48,1246.1,67.83276450511946,35.858585858585855,79.45413191811978,78.43059151563435,78.34602829162132,54.72633726224827,86.85715013940789,50.3,52.614379084967325,11.675137252329623,1050.6126441037236
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,96,2492.2,67.57679180887372,37.37373737373738,78.62016679302502,78.57996415056762,78.0739934711643,54.72717494930672,86.53367509319717,48.8,49.67741935483871,11.93726251767111,1026.4471885643966
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,144,3738.4,67.66211604095564,37.878787878787875,79.98483699772555,78.40071698864767,78.12840043525571,54.9994467370021,86.65607255415631,47.666666666666664,53.57142857142857,12.045237719725272,1056.226606880472
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,192,4984.5,67.66211604095564,39.39393939393939,80.74298711144806,78.44054969129655,78.29162132752992,55.43961876961758,86.44374703564321,45.93333333333333,51.307189542483655,12.951808175458485,1040.4946130154815
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,240,6230.6,67.91808873720136,38.38383838383838,81.12206216830933,78.47042421828321,78.0195865070729,55.80854254372548,85.49953013559576,44.699999999999996,54.22077922077923,13.671076609309544,1065.3054707708357
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,288,7476.7,68.25938566552901,37.878787878787875,80.51554207733132,78.47042421828321,77.74755168661589,56.4548570122337,86.04657863358112,46.53333333333333,53.57142857142857,13.769214807348227,1062.5136692659942
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,336,8722.8,68.1740614334471,38.38383838383838,81.27369219105383,78.56004779924318,77.85636561479869,56.66111934825838,86.5798858140844,46.5,56.41025641025641,12.837073472266972,1056.239295857245
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,384,9969.0,68.25938566552901,38.38383838383838,80.2122820318423,78.63971320454093,77.9107725788901,56.812141448702114,86.77847001511545,47.46666666666667,56.493506493506494,14.2412551384664,1074.7538214957203
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,432,11215.1,68.1740614334471,37.878787878787875,81.12206216830933,78.60983867755427,77.85636561479869,56.85649615648166,87.00453685111061,48.3,51.65562913907284,13.93837530924405,1041.3349449816585
qwen3,8b,ultrafeedback_binarized,1e-06,0.02,478,12409.3,68.08873720136519,37.37373737373738,81.6527672479151,78.64967138020315,77.9651795429815,56.849071270953075,87.21935575384425,46.86666666666666,53.896103896103895,13.276619488671464,1034.4066209327962
