family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
qwen3,4b,4e-07,0.01,200,3222.7,66.46757679180887,35.35353535353536,80.81880212282032,76.81736705835492,78.23721436343853,56.76103196125034,81.43415027682106,81.46666666666665,82.58064516129032,28.31325788424659,1180.040763575665,-0.5486474811065007,0.18779448178640762,-0.2808504036908977
qwen3,4b,4e-07,0.01,400,6445.5,67.06484641638225,37.87878787878788,85.59514783927217,77.69368651663015,78.29162132752992,60.13225955358308,80.36127475099403,84.6,86.75496688741721,37.18579356156389,1214.941903943545,-0.6436554600474107,1.0811063872706388,-0.01646933374993814
qwen3,4b,4e-07,0.01,600,9668.2,68.00341296928327,35.35353535353536,87.11144806671722,78.15176259709222,78.45484221980414,61.90702960961859,81.78261457377536,84.56666666666666,85.25641025641025,36.37395696813319,1210.103048771932,-0.654820052109887,1.1352585644890467,-0.003882373346638374
qwen3,4b,4e-07,0.01,800,12891.0,68.77133105802048,38.88888888888889,86.8081880212282,78.3608842859988,78.23721436343853,62.74766177381872,81.28177679667726,82.66666666666666,84.83870967741936,37.50839348907649,1207.872578814064,-0.3008322719980737,1.2967555328546156,0.28010874794835877
qwen3,4b,4e-07,0.01,1000,16113.7,69.11262798634812,36.86868686868687,85.44351781652767,78.460466042621,78.34602829162132,63.45981728142331,80.4462160401069,81.9,89.74358974358975,38.47795355348877,1209.1669834721256,-0.37770465546152804,1.6296129643678525,0.35222902447642856
qwen3,4b,4e-07,0.01,1200,19336.4,69.28327645051195,37.87878787878788,83.62395754359363,78.72933678550089,78.34602829162132,63.84895109050719,79.6656205534648,82.3,84.640522875817,40.90954914340113,1178.7791758839426,-0.20126521742948733,1.4140368070642826,0.38611733693188355
qwen3,4b,4e-07,0.01,1400,22559.2,69.45392491467577,38.38383838383838,82.33510235026536,78.73929496116313,78.50924918389553,64.17948432388269,79.25720421814121,82.06666666666666,84.4155844155844,38.68573042214219,1186.1905194554652,-0.06208356522989173,1.5728602049751612,0.5324414421174002
qwen3,4b,4e-07,0.01,1600,25781.9,69.53924914675767,37.87878787878788,82.2592873388931,78.6795459071898,78.40043525571274,64.26895773118306,79.85295682123433,80.36666666666666,87.58169934640523,40.69656458459223,1174.0924672401843,-0.26672294151074244,1.5713703871299962,0.40167463254043523
qwen3,4b,4e-07,0.01,1800,29004.7,69.6245733788396,38.38383838383838,83.69977255496588,78.72933678550089,78.56365614798693,64.44951087514845,79.01240929622291,79.56666666666666,85.03184713375796,40.45664566662664,1184.3125216442077,-0.029277893902491327,1.51332380335571,0.5316681778277637
qwen3,4b,4e-07,0.01,2000,32227.4,69.88054607508532,37.37373737373738,83.09325246398787,78.77912766381199,78.72687704026116,64.28151408421888,78.83005979689447,80.36666666666666,84.31372549019608,42.29079270221775,1149.9448300327758,-0.041067353951028576,1.5280096687328935,0.5295061088431248
qwen3,4b,4e-07,0.01,2031,32726.9,69.6245733788396,37.87878787878788,82.71417740712661,78.81896036646087,78.67247007616976,64.47977345119321,80.58235481854811,77.96666666666667,84.35374149659864,39.01652035143688,1173.358545957613,-0.06337465146857789,1.4734558514853893,0.4954728041510465
qwen3,4b,8e-07,0.01,200,3238.5,67.06484641638225,34.84848484848485,85.67096285064443,77.64389563831907,78.29162132752992,59.81865808988278,81.42290234355953,82.0,85.09933774834437,36.70055978149423,1231.7896515237576,-0.159802607719061,0.9575291732772531,0.2464998580977805
qwen3,4b,8e-07,0.01,400,6476.9,68.85665529010238,37.37373737373738,86.9598180439727,78.6197968532165,78.23721436343853,63.13595391369078,80.15271701308086,84.26666666666667,83.77483443708608,40.20863343353534,1193.2031294588226,0.06455617451601385,0.987704865086842,0.40024660745086044
qwen3,4b,8e-07,0.01,600,9715.4,70.05119453924915,38.38383838383838,81.9560272934041,79.18741286596295,78.45484221980414,65.23196332875081,80.32132519492724,80.73333333333333,84.83870967741936,40.005288695414286,1211.9062348133398,0.2271166764544313,1.190996408755486,0.5776183972911785
qwen3,4b,8e-07,0.01,800,12953.9,70.13651877133105,37.87878787878788,85.29188779378318,79.28699462258514,78.61806311207835,65.76067338520652,78.72639042185845,79.66666666666666,83.55263157894737,39.7529317610869,1190.102364043591,0.29778535953622576,1.2619168983054847,0.6483786463614108
qwen3,4b,8e-07,0.01,1000,16192.4,70.30716723549489,38.88888888888889,85.51933282789992,79.4264090818562,78.78128400435256,66.29151032220938,78.34296333727842,76.66666666666666,85.16129032258064,38.72506726468014,1146.9298880651206,0.5494759984771752,1.2856128996788716,0.8171621443687013
qwen3,4b,8e-07,0.01,1200,19430.8,70.39249146757679,37.87878787878788,85.67096285064443,79.41645090619399,78.89009793253537,66.13491631783756,78.31298731809378,81.13333333333333,78.8961038961039,40.582641236607394,1178.6676344086748,0.5378608046281304,1.2081228369353125,0.781592452739833
qwen3,4b,8e-07,0.01,1400,22669.3,70.81911262798634,37.37373737373738,82.94162244124337,79.54590718980283,78.83569096844396,66.4061448426948,78.41665669312978,78.76666666666667,81.33333333333333,41.6841398831667,1140.322836500743,0.5583681678248872,1.4164635025848484,0.8704028350103278
qwen3,4b,8e-07,0.01,1600,25907.8,71.07508532423208,37.87878787878788,84.3062926459439,79.55586536546505,79.16213275299239,66.43158931110025,78.89250521948429,76.93333333333334,82.88590604026845,41.262782339543136,1165.8465276134752,0.7767657170172871,1.3704393429899353,0.9926470355527954
qwen3,4b,8e-07,0.01,1800,29146.3,71.07508532423208,36.86868686868687,86.9598180439727,79.61561441943836,78.94450489662677,66.2874091376941,76.14978257689597,76.9,83.55263157894737,39.23884704127324,1186.7891817150007,0.5844698173123254,1.394167776060795,0.878905438675405
qwen3,4b,8e-07,0.01,2000,32384.7,70.73378839590444,35.858585858585855,85.51933282789992,79.55586536546505,78.78128400435256,66.39296796025921,78.0869204820986,76.63333333333333,80.06535947712419,40.10196649857718,1184.41173170517,0.35976067376529713,1.3913469605140678,0.734882959855759
qwen3,4b,8e-07,0.01,2031,32886.7,70.56313993174061,36.36363636363637,86.65655799848369,79.5857398924517,78.89009793253537,66.31435888892122,77.84212556018032,77.39999999999999,82.14285714285714,42.479106487356674,1129.1816100469405,0.4179969494136421,1.391760462447342,0.7720927723349877
qwen3,4b,1e-06,0.01,200,2913.7,67.06484641638225,34.84848484848485,86.73237300985596,77.823142800239,78.0739934711643,60.518656066536735,75.34419783951027,84.23333333333333,86.21794871794873,38.533618598199126,1210.0366390300778,-0.3923119248407116,1.026471213340604,0.12360921631613042
qwen3,4b,1e-06,0.01,400,5827.3,70.39249146757679,36.86868686868687,87.56633813495071,79.02808205536745,78.61806311207835,64.40122483956662,78.55778224001206,79.4,85.29411764705883,42.326343780671294,1193.4057623911874,0.5867307276896244,1.0263339975280317,0.7465864621763179
qwen3,4b,1e-06,0.01,600,8741.0,70.73378839590444,38.88888888888889,84.00303260045489,79.45628360884285,78.89009793253537,65.39374973343809,79.4695297366543,79.16666666666667,84.31372549019608,40.73275085260097,1171.5770326558709,0.6605500851924588,1.0286274682216816,0.7943964062939943
qwen3,4b,1e-06,0.01,800,11654.7,70.64846416382252,39.39393939393939,87.03563305534496,79.64548894642502,79.16213275299239,65.62219142777094,79.36586036161829,79.6,82.05128205128204,40.056887878000815,1189.1131757395897,0.861346002560909,1.2352975893518794,0.9973283977576256
qwen3,4b,1e-06,0.01,1000,14568.3,70.90443686006826,37.37373737373738,87.94541319181198,79.71519617606054,79.21653971708379,65.73418291217806,78.65020368178655,77.1,83.55704697986577,41.14730702932958,1150.5563412438014,0.7001712430226961,1.3393984529860898,0.9326175011912028
qwen3,4b,1e-06,0.01,1200,17482.0,71.160409556314,37.37373737373738,87.41470811220621,79.76498705437164,79.27094668117519,65.42069941111845,78.62022766260189,77.0,86.36363636363636,40.54258022139955,1171.1312140232958,0.8106628408772422,1.3338023157585441,1.0008953771977158
