family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,0.6b,1e-06,0.01,200,1226.1,45.81911262798635,32.82828282828283,,53.49531965743876,69.0424374319913,43.18077301539407,33.420103104207946,50.93333333333333,55.74324324324324,1.2905044486733648,607.5947446215871
qwen3,0.6b,1e-06,0.01,400,2452.3,46.2457337883959,32.323232323232325,,53.714399522007575,69.58650707290533,43.15272774047148,33.12034291236142,51.16666666666666,58.55263157894737,1.2694822903388534,612.0732513669307
qwen3,0.6b,1e-06,0.01,600,3678.4,46.160409556314,30.303030303030305,,53.82393945429197,69.36887921653971,43.218082728059166,33.30767918013095,47.16666666666667,59.523809523809526,1.0721513223342634,632.0272927992604
qwen3,0.6b,1e-06,0.01,800,4904.5,46.33105802047782,31.818181818181817,,53.833897629954194,69.53210010881394,43.21633288201323,32.39343829926816,47.93333333333334,62.66233766233766,1.5847418868137075,603.3895922898274
qwen3,0.6b,1e-06,0.01,1000,6130.7,46.58703071672355,31.313131313131315,,53.804023102967534,69.47769314472254,43.24422684276389,31.46296271670279,49.36666666666666,61.82432432432432,1.320613272698451,638.6556253078936
qwen3,0.6b,1e-06,0.01,1200,7356.8,46.33105802047782,32.323232323232325,,,69.26006528835691,43.25704371895354,32.741902596222474,48.9,60.85526315789473,1.3234149587184496,596.8879630348148
qwen3,0.6b,1e-06,0.01,1400,8582.9,46.33105802047782,32.323232323232325,,53.82393945429197,69.80413492927094,43.218675220993255,33.34264196775666,48.96666666666666,60.810810810810814,1.495504934162171,627.5615294988329
qwen3,0.6b,1e-06,0.01,1600,9809.0,46.160409556314,31.818181818181817,,53.89364668392751,69.26006528835691,43.300834421558406,33.06039087399212,46.53333333333333,62.5,1.5909759886408552,562.5751735960475
qwen3,0.6b,1e-06,0.01,1800,11035.2,46.33105802047782,31.818181818181817,,53.7841067516431,69.1512513601741,43.21802751707688,33.2452337575411,50.8,60.47297297297297,1.628866890687403,600.2037154492623
qwen3,0.6b,1e-06,0.01,2000,12261.3,46.33105802047782,33.33333333333333,,53.86377215694085,69.64091403699673,43.17190065706817,33.53623940034664,50.0,62.0,1.0593827999090644,643.6153886648397
qwen3,0.6b,1e-06,0.01,2031,12451.4,46.2457337883959,31.818181818181817,43.59363153904473,53.75423222465644,69.42328618063112,43.173850760054414,56.21251612388463,48.46666666666666,61.25827814569536,1.3570068918696192,652.2110732583229
qwen3,0.6b,1e-06,0.02,200,985.5,45.64846416382253,32.82828282828283,,53.56502688707428,69.42328618063112,43.07357801269517,32.49710767430418,48.49999999999999,51.32450331125828,1.3079548530737697,614.8733418816573
qwen3,0.6b,1e-06,0.02,400,1970.9,46.160409556314,31.818181818181817,,53.75423222465644,69.64091403699673,43.18019078952451,32.79060670133024,50.6,56.80272108843537,1.228894379612416,610.2641547243841
qwen3,0.6b,1e-06,0.02,600,2956.4,46.2457337883959,31.818181818181817,,53.68452499502091,69.42328618063112,43.19803414888224,32.9729562006587,48.4,63.63636363636363,1.0954255804558268,615.4475094050568
qwen3,0.6b,1e-06,0.02,800,3941.9,46.2457337883959,31.818181818181817,,53.843855805616414,69.47769314472254,43.2794651816132,33.420103104207946,43.766666666666666,55.71428571428572,1.1931526177650391,630.6847667026393
qwen3,0.6b,1e-06,0.02,1000,4927.3,46.33105802047782,31.818181818181817,,53.82393945429197,69.53210010881394,43.28269056009819,33.835999592193154,51.23333333333333,65.78947368421053,1.0549305149244044,602.5583328704806
qwen3,0.6b,1e-06,0.02,1200,5912.8,46.33105802047782,32.323232323232325,,53.833897629954194,69.64091403699673,43.27151002084744,33.748564918859735,49.86666666666667,61.224489795918366,1.2044157394273178,572.7467232165419
qwen3,0.6b,1e-06,0.02,1400,6898.3,46.2457337883959,31.313131313131315,,53.764190400318654,69.1512513601741,43.28004674684951,32.649481154447976,49.3,64.52702702702703,1.4684163137635122,607.0839272745434
qwen3,0.6b,1e-06,0.02,1600,7883.7,46.33105802047782,31.818181818181817,,53.86377215694085,69.26006528835691,43.32121989439284,33.12782306502303,48.23333333333333,61.58940397350994,1.8400957554940047,605.2223509863226
qwen3,0.6b,1e-06,0.02,1800,8869.2,46.58703071672355,32.323232323232325,,53.674566819358695,69.47769314472254,43.28704923081551,32.199840866678194,48.2,58.108108108108105,1.1338260957150368,615.9007684665831
qwen3,0.6b,1e-06,0.02,2000,9854.6,46.07508532423208,31.818181818181817,,53.85381398127864,69.26006528835691,43.31175911245712,32.56703324955562,49.16666666666666,60.738255033557046,1.1709927054450964,597.1786179359067
qwen3,0.6b,1e-06,0.02,2031,10007.4,46.41638225255973,30.303030303030305,42.380591357088704,53.73431587333201,69.31447225244831,43.39939296775846,55.23333643621148,47.8,64.62585034013605,1.2986337472358982,635.04062164546
qwen3,0.6b,1e-06,0.04,200,983.2,46.07508532423208,31.313131313131315,,53.53515236008764,69.26006528835691,43.090526737416965,33.914679716485594,48.93333333333333,57.71812080536913,1.9184241189029103,608.5735380973538
qwen3,0.6b,1e-06,0.04,400,1966.5,46.07508532423208,32.323232323232325,,53.714399522007575,69.1512513601741,43.197087117080336,34.36930677269645,48.16666666666666,56.25,1.3088369560906157,622.4568799134535
qwen3,0.6b,1e-06,0.04,600,2949.7,46.160409556314,31.818181818181817,42.30477634571645,53.77414857598089,69.64091403699673,43.298264829642335,33.457559276054205,49.0,62.08053691275168,1.1524479248530015,612.967579003823
qwen3,0.6b,1e-06,0.04,800,3933.0,46.67235494880546,30.80808080808081,41.54662623199393,53.804023102967534,69.58650707290533,43.293074683062,35.422179816220954,48.73333333333333,65.13157894736842,1.315869091927618,662.6360331946719
qwen3,0.6b,1e-06,0.04,1000,4916.2,46.41638225255973,33.83838383838384,42.0773313115997,53.843855805616414,69.2056583242655,43.43589291987956,32.95422811473557,49.4,65.17241379310344,1.470491020294668,589.8226369141203
qwen3,0.6b,1e-06,0.04,1200,5899.5,46.41638225255973,31.818181818181817,42.53222137983321,53.89364668392751,69.36887921653971,43.360071489403,31.950059176318835,49.766666666666666,62.24489795918368,0.8615665909090261,654.8585425285195
qwen3,0.6b,1e-06,0.04,1400,6882.7,46.33105802047782,32.82828282828283,42.45640636846096,53.74427404899422,69.31447225244831,43.3584444132496,32.07245663727798,46.266666666666666,59.74025974025974,1.535840599615875,606.4561318687295
qwen3,0.6b,1e-06,0.04,1600,7866.0,46.41638225255973,32.323232323232325,43.59363153904473,53.75423222465644,69.36887921653971,43.326424529931465,32.600777049340195,49.93333333333333,61.66666666666667,1.01228347985093,614.0248290143434
qwen3,0.6b,1e-06,0.04,1800,8849.2,46.2457337883959,31.313131313131315,43.13874147081122,53.82393945429197,69.69532100108815,43.18141406852207,33.139070998284545,49.06666666666666,64.23841059602648,0.8890405543946193,628.4372475536622
qwen3,0.6b,1e-06,0.04,2000,9832.4,46.33105802047782,31.818181818181817,42.00151630022744,53.64469229237204,69.74972796517955,43.24489720268516,33.16655363324867,50.33333333333333,61.564625850340136,1.3280091098801463,677.8009400902923
qwen3,0.6b,1e-06,0.04,2031,9984.8,46.2457337883959,32.323232323232325,42.60803639120546,53.804023102967534,69.58650707290533,43.223861510880205,56.81951666023928,49.36666666666666,62.08053691275168,1.0636267609167742,638.1027551142575
qwen3,0.6b,2e-06,0.01,200,982.8,45.81911262798635,31.818181818181817,41.39499620924943,53.674566819358695,69.31447225244831,43.08722411546732,32.785619932889176,49.5,67.66666666666666,1.1733027900518742,646.760611823215
qwen3,0.6b,2e-06,0.01,400,1965.5,46.67235494880546,32.82828282828283,45.33737680060652,54.15255925114519,69.58650707290533,43.60001734636981,32.164878079052464,48.8,70.62937062937063,2.0617845228487206,624.9962117361185
qwen3,0.6b,2e-06,0.01,600,2948.3,47.01365187713311,30.303030303030305,45.640636846095525,54.26209918342959,69.64091403699673,44.08558906610148,35.37596909533372,49.4,66.66666666666666,2.059666178464033,642.6026296724809
qwen3,0.6b,2e-06,0.01,800,3931.0,46.92832764505119,30.303030303030305,45.109931766489765,54.31189006174069,69.80413492927094,44.28780094454384,35.80560690080098,53.33333333333333,77.21088435374149,2.4088514609286698,656.607394654308
qwen3,0.6b,2e-06,0.01,1000,4913.8,46.84300341296928,29.7979797979798,45.56482183472328,54.49113722366062,69.64091403699673,44.498435038260745,35.71318545902649,51.03333333333333,71.72413793103448,2.5325595662012463,649.7134464888351
qwen3,0.6b,2e-06,0.01,1200,5896.5,46.92832764505119,30.303030303030305,45.109931766489765,54.46126269667397,69.58650707290533,44.47971903521091,36.7673328989304,51.46666666666667,70.86330935251799,2.5307244144020578,671.2755275106272
qwen3,0.6b,2e-06,0.01,1400,6879.3,47.01365187713311,33.33333333333333,46.70204700530705,54.38159729137622,69.80413492927094,44.38800909454814,36.6062048697456,51.4,76.59574468085107,2.857771262240586,666.8163978749795
qwen3,0.6b,2e-06,0.01,1600,7862.0,46.75767918088737,31.818181818181817,45.79226686884003,54.43138816968731,69.74972796517955,44.52255590726424,37.58665895379815,51.86666666666667,70.8904109589041,3.318959812316719,643.5243805983657
qwen3,0.6b,2e-06,0.01,1800,8844.8,46.92832764505119,30.80808080808081,46.39878695981805,54.39155546703845,69.91294885745376,44.41324932100968,36.73735687974574,52.5,73.3108108108108,2.7294684848309383,632.2434456679366
qwen3,0.6b,2e-06,0.01,2000,9827.5,46.67235494880546,31.313131313131315,45.56482183472328,54.47122087233619,69.74972796517955,44.49385342380191,35.16364357682061,50.06666666666666,69.23076923076923,3.249818447729204,636.676869439096
qwen3,0.6b,2e-06,0.01,2031,9979.8,46.67235494880546,31.818181818181817,45.41319181197877,54.44134634534953,69.96735582154517,44.433031565368566,51.48018369038595,52.49999999999999,76.01351351351352,2.713293975480722,655.4812647763208
qwen3,0.6b,2e-06,0.02,200,989.2,46.41638225255973,32.323232323232325,41.31918119787718,53.70444134634534,69.26006528835691,43.201687098261125,33.22024450679752,50.73333333333333,60.59602649006622,1.654086506007597,620.8505279336048
qwen3,0.6b,2e-06,0.02,400,1978.4,46.75767918088737,31.313131313131315,44.50341167551175,54.08285202150967,69.96735582154517,43.69085972486401,31.661546917733837,50.633333333333326,67.3469387755102,1.6421666313697718,657.8932779084896
qwen3,0.6b,2e-06,0.02,600,2967.6,46.75767918088737,31.313131313131315,46.32297194844579,54.31189006174069,69.74972796517955,44.15856983567495,33.9746317548549,48.96666666666667,68.12080536912751,2.154578753287579,639.2727363426
qwen3,0.6b,2e-06,0.02,800,3956.8,46.84300341296928,31.818181818181817,45.94389689158454,54.26209918342959,69.85854189336234,44.29191483747601,37.04082944365396,50.03333333333333,70.2054794520548,1.9373170031376847,666.7954641542385
