family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All
llama,3b,1e-06,0.01,2031,14453.9,54.26621160409556,24.24242424242424,46.929492039423806,77.78331009759012,76.98585418933624,41.78437167131655,72.50528597454753,61.23333333333333,79.43262411347519,1.1473470731916895,771.8440547053442,-0.8549810015621456,-0.9502503411567191,-0.8896243977783542
llama,3b,1e-06,0.02,200,1424.1,53.58361774744027,25.75757575757576,46.01971190295679,76.91694881497709,77.20348204570186,40.97097278915302,73.5119482971848,53.66666666666666,61.920529801324506,0.2704826987381926,651.477534522535,-0.32755299814572375,-0.9614763663475181,-0.5580705865827399
llama,3b,1e-06,0.02,400,2848.3,54.09556313993175,25.252525252525253,46.55041698256255,77.32523401712807,77.09466811751903,41.36865168910444,71.0927007008072,59.66666666666666,69.50354609929079,0.4765389483578556,694.0470437559068,-0.6712698402706884,-1.2604254948967595,-0.8855082601347142
llama,3b,1e-06,0.02,600,4272.4,54.522184300341294,27.27272727272727,46.474601971190296,77.47460665206134,77.04026115342764,41.57397934533583,73.41454008696924,58.633333333333326,75.35211267605634,0.4708723592793593,718.4770327655449,-0.5381858060386117,-1.2450954953920215,-0.7952438748943972
llama,3b,1e-06,0.02,800,5696.6,54.09556313993175,25.75757575757576,46.6262319939348,77.62397928699463,77.36670293797606,41.78745237870755,71.87955735226976,59.6,78.16901408450704,0.839185597743114,734.8445281580711,-0.5971890168452959,-1.3594439149547441,-0.8743726161578226
llama,3b,1e-06,0.02,1000,7120.7,54.18088737201365,25.252525252525253,46.929492039423806,77.65385381398127,77.31229597388466,41.7745527039478,72.32044309099855,58.73333333333333,74.46808510638297,1.0334733145664634,737.4536055846081,-0.6202933414628022,-1.3444022268842248,-0.8836056634342285
llama,3b,1e-06,0.02,1200,8544.9,54.60750853242321,26.262626262626267,46.70204700530705,77.823142800239,77.14907508161045,41.80866202718211,72.89248083972748,58.56666666666666,79.3103448275862,0.674960646692986,727.9582627805813,-0.5059375461434878,-1.3307109207509835,-0.8058551369098499
llama,3b,1e-06,0.02,1400,9969.0,54.35153583617748,24.747474747474747,46.929492039423806,77.73351921927902,76.87704026115343,41.82198848111816,72.29046707181391,61.69999999999999,78.125,0.6335550943165874,723.4551051750323,-0.9168400967399885,-1.3591587928686923,-1.0776832589686078
llama,3b,1e-06,0.02,1600,11393.2,53.92491467576792,26.767676767676768,47.30856709628507,77.65385381398127,77.09466811751903,41.77819878423347,72.96240641497891,62.16666666666666,76.92307692307693,0.9039318609053724,735.5934799678796,-0.5349267674108559,-1.2251301133660608,-0.7859098023036576
llama,3b,1e-06,0.02,1800,12817.3,53.92491467576792,26.262626262626267,46.70204700530705,77.66381198964349,77.09466811751903,41.80148618984994,71.95574409234166,61.13333333333333,78.125,0.8276538909450737,757.192358043021,-0.7736610897852833,-1.1359387667906757,-0.9053984268781533
