family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,48,1630.6,69.28327645051195,36.36363636363637,86.05003790750568,80.79067914758016,79.97823721436343,54.434925611946284,87.0969582928851,47.8,58.70967741935483,13.550528137181823,1094.689502197888,-0.5281721853078717,1.2819821148508908,0.1300657420225874,0.37690496477150953
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,96,3261.2,69.6245733788396,35.35353535353536,85.97422289613344,80.91017725552678,79.76060935799782,54.94091905557874,87.94875375115804,48.9,58.387096774193544,13.018129211602089,1054.8192237396986,-0.617244222255563,-0.389546658972868,-0.534445108334583,-0.5033954406142155
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,144,4891.8,69.7098976109215,34.34343434343434,86.65655799848369,81.09938259310894,79.86942328618063,55.58656503488151,87.02077155281322,47.733333333333334,57.14285714285714,12.901686290113146,1066.067797593481,-0.736742761836599,-0.5670172799228124,-0.6750244047770404,-0.6518800208797058
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,192,6522.4,69.6245733788396,35.858585858585855,86.65655799848369,81.32842063333997,80.03264417845483,55.980667117560046,87.4179399548753,48.599999999999994,57.14285714285714,16.140973725437487,1092.2108808017424,-0.37867402927638183,0.004469832332395396,-0.23934898869137192,-0.18710209847199322
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,240,8153.0,69.88054607508532,34.84848484848485,86.65655799848369,81.3981278629755,80.25027203482045,56.24519499785572,88.37589817240477,48.6,60.130718954248366,14.633964966197343,1036.4918387840044,-0.04136386068344801,-0.5661478221493064,-0.2321943921255783,-0.3037558414163772
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,288,9783.6,69.96587030716724,34.84848484848485,87.41470811220621,81.37821151165106,79.70620239390642,56.53273432980407,87.75266293434754,45.766666666666666,57.14285714285714,14.145019056301797,1043.7182751758894,-0.3718130874840591,-0.5225473327576999,-0.4266255403108376,-0.4471802101208795
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,336,11414.2,69.88054607508532,35.35353535353536,87.41470811220621,81.42800238996216,79.65179542981502,56.762321878744345,87.81261497271684,44.86666666666666,57.84313725490197,14.095965640450364,1037.822636294656,-0.3544377646786527,-0.6548792502325219,-0.4636892139709687,-0.5046585074555873
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,384,13044.7,70.05119453924915,35.858585858585855,87.49052312357847,81.42800238996216,79.70620239390642,56.92352010089873,87.88880171278873,48.199999999999996,57.64331210191082,17.003372229491067,1051.134923048567,-0.18055267931188101,0.10018768803785282,-0.07846527300288689,-0.0401824956370141
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,432,14675.3,69.7952218430034,34.84848484848485,87.71796815769522,81.38816968731328,79.59738846572361,57.02173602594763,87.3092838113982,46.03333333333333,58.70967741935483,14.53099492436034,1085.2695991311966,-0.5537715059938715,-0.029777810212302747,-0.3632283438914829,-0.2917746581030871
qwen3,14b,ultrafeedback_binarized,1e-06,0.01,478,16238.0,70.30716723549489,36.36363636363637,87.86959818043972,81.37821151165106,79.5429815016322,57.008841240660644,87.4017052531727,43.36666666666667,56.493506493506494,14.807073787711673,1016.5743072992351,-0.3341188133273702,-0.6674621800215077,-0.4553345830343293,-0.500790496674439
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,48,1626.6,69.19795221843003,34.34343434343434,85.82259287338894,80.75084644493128,80.25027203482045,54.4612599229061,87.14316901377235,49.56666666666666,54.22077922077923,13.240035844645345,1066.4938891256795,-0.7516058680896697,0.514212556270766,-0.2913082592313294,-0.11869665590945183
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,96,3253.2,69.28327645051195,35.858585858585855,86.27748294162244,80.98984266082454,80.03264417845483,54.96700128107154,86.8246807360027,47.03333333333333,56.493506493506494,13.030396234969317,1049.2696259036857,-0.600059354627632,-0.7901638664618967,-0.6691882680219101,-0.6951116105447643
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,144,4879.9,69.53924914675767,34.34343434343434,86.73237300985596,81.03963353913562,79.97823721436343,55.54740998237687,87.21935575384425,48.56666666666666,59.47712418300654,13.144070168803456,1079.5625932344692,-0.6996648482666626,-0.1046545346950909,-0.4832974615133638,-0.40215969148087677
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,192,6506.5,69.7952218430034,35.35353535353536,86.88400303260046,81.30850428201553,80.25027203482045,55.88627930215364,86.1989521137249,50.39999999999999,56.774193548387096,14.71748092713414,1056.5272441729098,-0.6783913962574323,-0.5220593104504025,-0.621543365054876,-0.6002253533539175
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,240,8133.1,69.6245733788396,35.858585858585855,86.88400303260046,81.36825333598885,79.70620239390642,56.096467097187904,86.77847001511546,49.26666666666666,58.16993464052288,14.416524338078846,1076.46153778931,-0.6382988964780498,-0.33930810462611205,-0.5295749721682542,-0.48880350055208094
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,288,9759.7,69.7952218430034,35.35353535353536,87.64215314632298,81.36825333598885,79.97823721436343,56.311285134092984,87.3854705514701,49.26666666666666,58.223684210526315,13.830653502596077,1087.3338924079987,-0.3146526231377874,0.01447293869447111,-0.1949706006533298,-0.15008984222165817
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,336,11386.3,69.7952218430034,36.36363636363637,87.94541319181198,81.25871340370445,79.86942328618063,56.60790068430636,87.2493317730289,48.13333333333333,56.9078947368421,15.627254812288394,1074.6680853168987,-0.22386935150173465,0.09139337336099848,-0.10922836064255897,-0.06623798907036808
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,384,13012.9,69.88054607508532,35.35353535353536,88.02122820318424,81.3383788090022,79.5429815016322,56.67719913645099,87.87506039530668,50.333333333333336,57.7922077922078,14.395954081189016,1083.5314854531566,-0.4236827525926434,-0.1655734809950191,-0.3298248356480527,-0.2946281167938312
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,432,14639.6,69.36860068259386,35.35353535353536,87.71796815769522,81.3383788090022,79.97823721436343,56.75430538751144,86.87089145688994,49.666666666666664,57.14285714285714,14.465156891147426,1051.9312920678026,-0.46568372207046876,-0.3533784434071877,-0.4248454389201848,-0.4095310827388282
qwen3,14b,ultrafeedback_binarized,1e-06,0.02,478,16198.4,69.6245733788396,35.35353535353536,87.71796815769522,81.36825333598885,80.08705114254624,56.820850700137186,87.55657211753703,48.83333333333333,54.57516339869281,15.271135854535553,1056.3971381561446,-0.39820087672484294,-0.13520254008476226,-0.30256511794663177,-0.2667017084048026
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,48,1628.2,69.53924914675767,36.868686868686865,86.8081880212282,80.8105954989046,80.19586507072906,54.433749375416376,87.63026547338839,45.166666666666664,53.205128205128204,13.860618892730594,1080.8153073844605,0.5482616363349476,0.27130678417593757,0.44755078100439855,0.4097842102554426
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,96,3256.3,69.6245733788396,35.35353535353536,86.3532979529947,81.00975901214898,79.92383025027203,54.976409858877936,87.40170525317271,48.466666666666654,55.62913907284768,13.821448000350289,1076.7022868904874,-0.5331282456956766,-0.20773052797838018,-0.41480180288938695,-0.3704293868370284
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,144,4884.5,69.7952218430034,36.36363636363637,86.8081880212282,81.0794662417845,80.03264417845483,55.50649349846842,87.1893797346596,47.766666666666666,62.25806451612903,14.895162649561724,1044.333284276325,-0.2820139936600138,-0.11780393096739755,-0.22230124358997153,-0.19990896231370567
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,192,6512.7,69.7098976109215,35.858585858585855,87.41470811220621,81.18900617406891,80.14145810663766,55.73542873003634,87.4179399548753,51.8,57.096774193548384,15.39012213453991,1106.164942282642,-0.34778407937418426,0.09376807732707806,-0.18721965875554342,-0.12700800102355309
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,240,8140.9,69.45392491467577,35.858585858585855,87.26307808946171,81.29854610635331,80.03264417845483,55.9701235602581,86.8084460343001,49.36666666666666,62.66233766233766,15.75491001850364,1071.0844468490675,-0.534666289282269,0.3144480741737783,-0.22589742984370637,-0.11010910755424536
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,288,9769.0,69.6245733788396,36.36363636363637,87.79378316906747,81.43796056562438,80.08705114254624,56.123591407661365,86.94707819696184,50.23333333333333,58.01282051282052,14.342393676849508,1096.9068210607297,-0.2496007595201373,0.2660284223117085,-0.062099238854011564,0.00821383139578559
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,336,11397.2,69.6245733788396,35.858585858585855,87.79378316906747,81.3383788090022,80.08705114254624,56.31588259522927,87.0207715528132,48.3,61.111111111111114,14.932124092446625,1096.776084808468,-0.19663280190271504,0.3778844477851133,0.012282561620131617,0.09062582294119914
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,384,13025.4,69.88054607508532,36.868686868686865,86.9598180439727,81.32842063333997,80.08705114254624,56.35244512094503,87.69271089597824,51.766666666666666,61.76470588235294,15.942180196011584,1069.464250554213,-0.05269509138977192,0.45383271632544864,0.1314968386884901,0.20056881246783836
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,432,14653.6,69.45392491467577,35.35353535353536,87.71796815769522,81.32842063333997,79.92383025027203,56.45866600182687,87.5378440316139,50.766666666666666,60.322580645161295,15.230639525851458,1067.8831600104638,-0.32675593067890185,0.37948151510947337,-0.06994231402858359,0.026362792215285757
qwen3,14b,ultrafeedback_binarized,1e-06,0.04,478,16213.9,69.7952218430034,36.36363636363637,87.71796815769522,81.31846245767775,80.25027203482045,56.38955591861916,87.92127111619392,50.099999999999994,59.150326797385624,15.32811322640923,1093.271776229863,-0.10500996283019393,0.5792306885484888,0.14380481948932708,0.23711036285914744
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,48,1634.9,69.36860068259386,35.35353535353536,85.67096285064443,80.88030272854013,79.92383025027203,54.779377003465676,86.39753631475595,44.599999999999994,55.16129032258065,12.609478616076697,1081.870871746975,-0.9105253437814099,-0.20505589663154072,-0.6539909993632755,-0.5577906202064753
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,96,3269.9,69.7952218430034,35.858585858585855,87.11144806671722,81.41804421429994,79.81501632208922,56.21504154881315,86.18521079624286,48.9,57.74193548387097,14.497612340353736,1073.5093932321727,-0.28365012661320116,0.046548224068006586,-0.163577999092762,-0.1185509512725973
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,144,4904.8,70.22184300341297,34.34343434343434,87.71796815769522,81.53754232224657,79.81501632208922,57.26499754068155,86.71602459252561,47.8,58.82352941176471,15.532083064166816,1058.2624981102556,-0.11079155356066574,-0.1563254890336277,-0.12734934827810646,-0.1335585212971467
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,192,6539.8,69.96587030716724,35.858585858585855,88.70356330553449,81.4578769169488,79.65179542981502,58.28024784546329,87.60028945420373,44.766666666666666,57.7922077922078,16.83892057522946,1088.7754095193236,0.10337608841145374,-0.019397669833796316,0.05873108541318098,0.04198920928882871
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,240,8174.7,70.39249146757679,34.84848484848485,88.77937831690674,81.38816968731328,79.4885745375408,59.11241889822971,87.58904152094222,44.766666666666666,61.53846153846154,17.0084518865632,1054.1018004587572,-0.24168188867742593,-0.08838443737824753,-0.18593736093227015,-0.16503316302783672
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,288,9809.6,70.39249146757679,34.84848484848485,88.93100833965126,81.20892252539335,79.4885745375408,59.93618813196474,87.67896957849617,44.766666666666666,58.88157894736842,16.348555566984032,1043.557746574264,-0.12890820068407374,0.19552981727296176,-0.010930739608788093,0.03331080829444401
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,336,11444.6,70.39249146757679,35.35353535353536,89.76497346474602,81.30850428201553,79.70620239390642,60.67353795733664,87.14566239799288,44.766666666666666,56.5359477124183,15.810129781286989,1037.6885888650345,0.06302320117592887,-0.37290138788586136,-0.09549483121017667,-0.15493909335496625
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,384,13079.5,70.81911262798634,34.84848484848485,89.53752843062927,81.24875522804223,79.59738846572361,60.99784657089431,88.01369255796841,44.766666666666666,60.71428571428571,15.97560362466795,1036.465904033068,0.04929538267711227,-0.17966630823424765,-0.0339634140179277,-0.06518546277856768
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,432,14714.5,70.73378839590444,35.35353535353536,89.53752843062927,81.21888070105557,79.27094668117519,61.10509063681738,86.97954760036703,44.766666666666666,64.6103896103896,16.459020633049825,1048.553811591328,-0.17224088376673313,0.5412090201111457,0.08719544491613189,0.18448406817220628
qwen3,14b,ultrafeedback_binarized,2e-06,0.01,478,16281.3,70.81911262798634,35.35353535353536,89.08263836239576,81.26867157936665,79.81501632208922,61.152818864189385,86.90336086029514,39.33333333333333,56.774193548387096,14.721936827633511,1053.6848999769795,-0.12833888618620476,-0.6033825899723467,-0.3010820511993473,-0.36586073807927577
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,48,1631.0,69.53924914675767,36.36363636363637,85.44351781652767,80.82055367456682,80.03264417845483,54.792193394996666,87.06947565792099,48.63333333333333,54.83870967741935,12.775728758260607,1051.8729987101613,-0.26194871105911116,0.029068308809578725,-0.1561243401977694,-0.11644020112476622
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,96,3262.0,69.6245733788396,36.36363636363637,86.5049279757392,81.36825333598885,80.25027203482045,56.116761068092934,86.76223531341286,49.2,58.44155844155844,15.535844835747456,1093.5237598123697,0.16206411452223626,0.5700105507229194,0.3104082731406665,0.3660373326225778
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,144,4893.0,70.13651877133105,34.84848484848485,88.24867323730099,81.47779326827326,79.86942328618063,57.17965824691815,86.9770542161465,47.53333333333333,65.0326797385621,16.98604512983353,1069.9081312985159,0.06439224448365147,0.6707632089088071,0.28489077700188986,0.3675777266962293
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,192,6524.0,70.22184300341297,35.35353535353536,88.47611827141773,81.42800238996216,79.4341675734494,57.91433810109547,87.3255185131008,43.9,62.41830065359477,15.650930952404453,1060.98951733369,-0.1936755707748871,-0.20357184157724895,-0.19727421470301865,-0.198623706176068
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,240,8155.0,70.39249146757679,35.858585858585855,88.09704321455648,81.35829516032663,79.92383025027203,58.36364624271781,88.30220481655343,44.96666666666667,65.25974025974025,16.23827595306335,1072.794429997284,0.24068588023817936,0.418377430396903,0.30530098938680617,0.3295316553175412
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,288,9786.0,70.4778156996587,35.35353535353536,88.62774829416225,81.26867157936665,79.4885745375408,58.81633343920427,87.51036139664978,45.56666666666666,56.16883116883117,16.254201840237332,1057.955186123698,-0.1704088865450632,0.0742186530937556,-0.0814534175854927,-0.0480951167256538
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,336,11417.0,70.39249146757679,34.84848484848485,89.38589840788475,81.24875522804223,79.76060935799782,59.300333620828084,87.72268691516288,46.166666666666664,59.66666666666667,14.701887555604731,1082.23582776014,-0.0209213403111649,-0.014372056252077436,-0.01853978247149673,-0.017646698281621166
qwen3,14b,ultrafeedback_binarized,2e-06,0.02,384,13048.0,70.56313993174061,35.35353535353536,87.94541319181198,81.18900617406891,79.97823721436343,59.495293257677375,87.73892161686547,45.0,60.333333333333336,15.658612392077847,1060.1479106680542,-0.0839979198651812,-0.11697688993566466,-0.0959902726180843,-0.10048740490042293
