family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,336,2439.6,56.655290102389074,23.232323232323232,32.676269901440484,67.23760207130054,75.29923830250273,47.29114066812615,64.56435590898815,49.766666666666666,50.0,3.61507779481657,744.320140567241
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,384,2788.2,56.996587030716725,22.727272727272727,33.131159969673995,67.20772754431388,75.1904243743199,47.28865089612032,64.80915083090643,49.166666666666664,50.66225165562914,4.015125558595877,742.8281212454827
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,432,3136.7,56.91126279863481,25.757575757575758,33.2827899924185,67.28739294961163,75.35364526659413,47.257870253296836,64.70548145587043,51.0,52.960526315789465,3.7306423806608735,741.6783468793113
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.04,478,3470.7,56.8259385665529,24.242424242424242,33.05534495830174,67.22764389563832,75.51686615886834,47.249945355286386,61.701729189661215,50.03333333333333,50.0,4.241628224721944,742.8363845600496
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,48,354.3,56.8259385665529,25.252525252525253,33.66186504927976,67.09818761202948,75.40805223068553,47.23525693556421,64.6705186682447,49.633333333333326,50.649350649350644,4.538894911219123,762.1362948834434
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,96,708.6,56.996587030716725,23.232323232323232,31.69067475360121,67.35710017924717,74.9183895538629,47.33124390106963,65.4161513672611,49.96666666666666,54.333333333333336,4.517314663700138,762.9562895900559
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,144,1062.9,57.081911262798634,22.727272727272727,32.069749810462476,67.4268074088827,75.46245919477693,47.32751081958828,64.82538553260903,51.53333333333333,51.34228187919463,4.372842300282279,738.2369596193663
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,192,1417.2,56.91126279863481,21.71717171717172,31.0841546626232,67.31726747659829,75.1360174102285,47.33634714675368,64.53437988980349,52.8,52.30263157894737,4.280572552269607,746.6009328720714
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,240,1771.5,56.655290102389074,23.737373737373737,30.477634571645183,67.36705835490937,75.0816104461371,47.24473211344354,64.46068653395214,50.33333333333333,54.57516339869281,4.885487206150323,749.799204884312
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,288,2125.8,56.996587030716725,20.707070707070706,29.946929492039427,67.486556462856,75.29923830250273,47.20922110740177,65.42113813570217,49.16666666666666,57.284768211920536,5.039073934711337,772.0798789959211
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,336,2480.1,56.74061433447098,23.737373737373737,30.022744503411676,67.486556462856,75.46245919477693,47.346896342213874,64.92030035860405,52.099999999999994,55.960264900662246,4.690628476630995,754.7852993245085
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,384,2834.3,57.33788395904437,23.232323232323232,29.64366944655042,67.56622186815375,75.29923830250273,47.289561024814084,64.06351813189005,51.03333333333333,53.74149659863946,4.643919437985167,765.7450300476451
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,432,3188.6,57.16723549488054,24.242424242424242,30.78089461713419,67.486556462856,75.57127312295974,47.32714812930065,64.22337176469546,49.099999999999994,54.054054054054056,4.6173454835906265,776.2531807837411
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.01,478,3528.2,56.91126279863481,22.727272727272727,29.567854435178166,67.40689105755825,75.29923830250273,47.36526331374147,65.35869271311232,55.46666666666667,61.33333333333333,5.041588203821737,746.5018669598733
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,48,342.4,56.399317406143346,22.22222222222222,35.6330553449583,67.25751842262497,75.62568008705114,47.31585875264268,66.16677083471855,49.56666666666666,51.98675496688742,3.832848178749476,721.3317844151454
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,96,684.8,56.74061433447098,24.242424242424242,32.97952994692949,67.28739294961163,75.24483133841132,47.30820408857972,63.911144651746255,48.4,50.649350649350644,4.329786915473009,736.7118467954267
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,144,1027.3,56.484641638225256,22.727272727272727,32.221379833206974,67.23760207130054,75.35364526659413,47.40989417871607,65.91449576013866,50.33333333333333,48.68421052631579,4.554294905289376,733.6159596340945
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,192,1369.7,56.74061433447098,22.727272727272727,30.856709628506447,67.3770165305716,75.40805223068553,47.31429875019299,63.973590074336094,53.3,54.276315789473685,5.521324918602768,732.1089372427756
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,240,1712.1,56.996587030716725,24.242424242424242,31.69067475360121,67.38697470623381,75.1360174102285,47.437795412777085,65.96818663368751,53.4,55.70469798657718,4.563448981152717,746.9290508871818
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,288,2054.5,56.8259385665529,20.707070707070706,30.932524639878693,67.45668193586934,75.46245919477693,47.195251015806754,64.1097288527773,50.233333333333334,55.70469798657718,4.755244060348442,761.9037023878569
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,336,2396.9,57.25255972696246,22.22222222222222,31.15996967399545,67.43676558454491,75.51686615886834,47.302298164925894,64.76792687846027,53.03333333333333,52.27272727272727,4.726519111665873,729.3101997693009
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,384,2739.4,57.081911262798634,23.737373737373737,30.477634571645183,67.52638916550488,75.46245919477693,47.31111672228776,64.59682531239334,51.699999999999996,56.95364238410596,4.5897075193436265,766.0710408574665
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,432,3081.8,56.996587030716725,23.232323232323232,31.614859742228962,67.44672376020714,75.73449401523395,47.32884930102589,64.60807324565486,52.86666666666666,55.26315789473685,4.721557733714181,774.7859360173085
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.02,478,3409.9,56.91126279863481,22.727272727272727,32.52463987869598,67.49651463851822,75.1904243743199,47.43769281634293,66.14178158397496,54.1,53.02013422818792,4.210045036474497,726.6971430079254
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,48,346.8,56.484641638225256,24.242424242424242,33.88931008339651,67.24756024696276,75.35364526659413,47.37520192288094,64.6105666298754,50.266666666666666,49.32432432432432,4.171488679718141,755.2711750649289
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,96,693.5,56.8259385665529,22.727272727272727,32.52463987869598,67.30730930093607,75.46245919477693,47.39403429643714,65.20631923296853,51.5,54.966887417218544,4.336181579116667,755.8035380572005
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,144,1040.3,57.423208191126285,22.22222222222222,31.46322971948446,67.29735112527385,75.51686615886834,47.50361920131327,63.973590074336094,51.666666666666664,51.65562913907284,4.716027934712745,742.6728110112025
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,192,1387.0,57.081911262798634,22.727272727272727,33.05534495830174,67.40689105755825,75.29923830250273,47.370287624860566,64.97775901275283,51.633333333333326,52.666666666666664,4.340141382722424,736.1630994182503
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,240,1733.8,56.91126279863481,23.232323232323232,31.766489764973464,67.38697470623381,75.35364526659413,47.30309298145871,64.67301205246524,53.8,57.666666666666664,4.624743883191109,777.2980261706788
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,288,2080.5,57.16723549488054,23.737373737373737,32.14556482183472,67.49651463851822,75.0816104461371,47.271703575346656,63.6850778157511,55.0,52.36486486486487,4.367837715485142,754.8272089533261
qwen3,1.7b,ultrafeedback_binarized,2e-06,0.04,336,2427.3,56.996587030716725,24.242424242424242,30.932524639878693,67.4268074088827,75.35364526659413,47.37762612585455,64.46068653395214,51.766666666666666,50.32258064516129,5.4063203609073165,744.941263168897
