family,size,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO
qwen3,14b,8e-08,0.01,200,6811.1,69.45392491467577,35.35353535353536,85.67096285064443,80.72097191794462,79.86942328618063,54.46557627040206,87.84259099190149,51.16666666666666,54.14012738853503,14.247468693374548,1062.2929236742843
qwen3,14b,8e-08,0.01,400,13622.2,69.11262798634812,36.36363636363637,86.5049279757392,80.98984266082454,79.92383025027203,54.89748572064141,87.21935575384425,54.33333333333333,59.03225806451613,16.898029581680422,1085.17401389186
qwen3,14b,8e-08,0.01,600,20433.3,69.45392491467577,36.36363636363637,87.11144806671722,81.1790479984067,80.25027203482045,55.39442577035578,87.26556647473149,54.03333333333333,61.29032258064516,21.46129664013462,1112.917487512043
qwen3,14b,8e-08,0.01,800,27244.4,69.28327645051195,36.86868686868687,88.02122820318424,81.40808603863772,80.41349292709467,56.23428311252676,88.57448237343581,62.69999999999999,72.11538461538461,26.470748014244386,1135.340174219161
qwen3,14b,8e-08,0.01,1000,34055.5,69.36860068259386,37.37373737373738,87.86959818043972,81.557458673571,80.30467899891185,56.834940938441456,86.91710217777718,63.96666666666667,76.28205128205127,29.22129160384338,1147.4777604264652
qwen3,14b,8e-08,0.01,1200,40866.6,69.6245733788396,37.37373737373738,88.17285822592874,81.61720772754431,80.35908596300327,57.39466753878991,86.87089145688995,65.93333333333334,73.37662337662337,32.79870370539002,1191.9244678176672
qwen3,14b,8e-08,0.01,1400,47677.7,69.7952218430034,36.36363636363637,87.86959818043972,81.75662218681538,80.08705114254624,57.85103717543434,87.99995124048635,67.16666666666666,75.64935064935064,33.967775060474416,1192.6609892699232
qwen3,14b,8e-08,0.01,1600,54488.8,69.7952218430034,36.86868686868687,88.32448824867323,81.79645488946426,80.57671381936888,58.17416529406574,86.1714694787608,66.63333333333333,74.83870967741936,35.68455565338317,1177.155444662253
qwen3,14b,8e-08,0.01,1800,61299.9,69.96587030716724,37.37373737373738,88.55193328279,81.88607847042422,80.19586507072906,58.3935741940462,86.73475267844874,68.63333333333333,79.73856209150327,37.48012413841524,1206.01913532877
qwen3,14b,8e-08,0.01,2000,68111.0,69.88054607508532,37.37373737373738,88.17285822592874,81.89603664608643,80.08705114254624,58.50856747592567,87.63275885760893,69.16666666666666,79.35483870967742,36.73092888306648,1206.1008616473464
qwen3,14b,8e-08,0.01,2031,69166.7,70.05119453924915,36.86868686868687,88.02122820318424,81.84624576777534,80.41349292709467,58.44255734620422,87.17563841717754,67.13333333333333,76.12903225806451,38.1644216572124,1190.5291335024265
qwen3,14b,1e-07,0.01,200,3449.5,69.36860068259386,35.35353535353536,85.97422289613344,80.69109739095798,80.03264417845483,54.42453413316126,87.26556647473149,49.83333333333333,54.3046357615894,14.12907926689964,1081.1564281784051
qwen3,14b,1e-07,0.01,400,6899.0,69.19795221843003,35.858585858585855,86.42911296436695,80.9699263095001,80.19586507072906,55.07414861612388,88.07115121211719,55.6,59.210526315789465,18.34760000455838,1129.9163794520214
qwen3,14b,1e-07,0.01,600,10348.5,69.19795221843003,35.858585858585855,87.86959818043972,81.35829516032663,80.08705114254624,56.08955571750501,88.59071707513841,60.9,64.3312101910828,22.69697344753665,1144.0811029078743
qwen3,14b,1e-07,0.01,800,13798.0,69.6245733788396,35.858585858585855,87.86959818043972,81.59729137621987,80.03264417845483,57.005333917789535,88.50078901758445,63.133333333333326,75.15923566878982,31.944702071280663,1165.9250687157723
qwen3,14b,1e-07,0.01,1000,17247.5,69.7098976109215,36.36363636363637,88.24867323730099,81.7167894841665,80.14145810663766,57.914707170984045,86.35381897808925,65.8,76.79738562091504,34.57602016425315,1179.6568889931766
qwen3,14b,1e-07,0.01,1200,20697.0,70.13651877133105,37.37373737373738,88.855193328279,81.84624576777534,80.25027203482045,58.68251278356179,86.84091543770529,69.86666666666666,80.57324840764332,39.15488510587823,1198.661242853929
qwen3,14b,1e-07,0.01,1400,24146.5,69.96587030716724,36.86868686868687,88.855193328279,82.00557657837084,80.46789989118606,59.29722603996388,86.87089145688994,68.9,84.53947368421053,41.47698503779207,1216.6523770983597
qwen3,14b,1e-07,0.01,1600,27596.0,70.13651877133105,37.37373737373738,88.62774829416225,82.06532563234416,80.46789989118606,59.76279699461544,87.61901754012686,70.06666666666666,84.53947368421053,43.96530534921631,1243.9753370358187
qwen3,14b,1e-07,0.01,1800,31045.5,70.22184300341297,36.86868686868687,89.0068233510235,82.17486556462856,80.46789989118606,60.04701592380951,87.70894559768082,71.5,82.45033112582782,44.41280402449478,1230.0853536373295
qwen3,14b,1e-07,0.01,2000,34495.0,70.39249146757679,36.36363636363637,88.40030326004549,82.12507468631746,80.35908596300327,60.13815740766344,87.21935575384424,70.73333333333332,82.9032258064516,46.08958521026811,1227.401496536285
qwen3,14b,1e-07,0.01,2031,35029.7,70.4778156996587,35.858585858585855,88.47611827141773,82.04540928101972,80.46789989118606,60.110238932380526,87.13192108051082,71.63333333333333,83.54838709677419,43.332588598575285,1233.2863283386675
qwen3,14b,4e-07,0.01,200,6820.7,69.28327645051195,36.86868686868687,86.8081880212282,81.23879705238001,80.25027203482045,55.66604061646208,87.40170525317271,58.23333333333333,64.74358974358975,20.365830358153016,1116.4313374681933
qwen3,14b,4e-07,0.01,400,13641.3,70.64846416382252,36.86868686868687,89.76497346474602,82.21469826727743,80.35908596300327,61.39233661401639,87.37422261820858,72.3,81.61290322580645,48.8778916459021,1258.5026567930386
qwen3,14b,4e-07,0.01,600,20462.0,71.33105802047781,36.86868686868687,91.28127369219104,82.31428002389963,79.27094668117519,65.05852839528566,85.62192759655491,76.8,85.06493506493507,55.7149872758523,1263.9251363101453
qwen3,14b,4e-07,0.01,800,27282.7,71.84300341296928,37.87878787878788,91.12964366944657,82.16490738896634,79.21653971708379,65.6936059679473,86.70228327504356,78.86666666666666,83.87096774193549,56.38956943193237,1282.084001627845
qwen3,14b,4e-07,0.01,1000,34103.4,71.9283276450512,36.86868686868687,91.81197877179682,82.15494921330412,78.94450489662677,66.21585201006309,87.32801189732133,78.86666666666666,87.66233766233766,56.75473490165457,1291.5011463108217
qwen3,14b,4e-07,0.01,1200,40924.0,72.09897610921502,36.86868686868687,92.26686884003033,82.0952001593308,78.61806311207835,66.44128191047366,87.73892161686547,75.96666666666665,86.62420382165605,54.38980245241101,1286.7591673500651
qwen3,14b,4e-07,0.01,1400,47744.7,72.01365187713311,35.35353535353536,92.41849886277484,82.17486556462856,78.83569096844396,66.69929989225375,88.04366857715307,76.0,85.57692307692307,56.14123410377873,1289.0414630060818
qwen3,14b,4e-07,0.01,1600,54565.4,71.9283276450512,36.86868686868687,,82.22465644293966,78.61806311207835,66.84129385048367,88.01369255796841,77.13333333333333,88.53503184713377,54.09114823855408,1285.500335494788
qwen3,14b,4e-07,0.01,1800,61386.1,72.18430034129693,34.84848484848485,,82.24457279426409,78.40043525571274,66.92763412425022,87.92127111619392,78.33333333333333,,54.18218200084096,1302.9205484238546
qwen3,14b,4e-07,0.01,2000,68206.7,72.35494880546075,36.36363636363637,92.11523881728584,82.22465644293966,78.61806311207835,66.91920527651565,87.09945167710563,76.96666666666665,83.43949044585987,54.73252660207297,1274.021378618812
qwen3,14b,4e-07,0.01,2031,69264.0,72.35494880546075,34.84848484848485,91.73616376042456,82.20474009161521,78.78128400435256,66.94379739346277,87.4179399548753,77.16666666666666,87.09677419354838,53.90333342797354,1279.6366173810557
qwen3,14b,4e-07,0.02,200,6791.6,69.28327645051195,35.858585858585855,87.49052312357847,81.26867157936665,79.86942328618063,55.57876043290193,87.28180117643409,56.3,66.55844155844156,21.23272771178742,1114.899735923618
qwen3,14b,4e-07,0.02,400,13583.3,70.30716723549489,35.858585858585855,88.77937831690674,81.97570205138419,80.57671381936888,60.4718358848376,87.1456623979929,70.13333333333333,76.28205128205127,43.417361925273255,1221.4725482455528
qwen3,14b,4e-07,0.02,600,20374.9,71.41638225255973,36.36363636363637,90.14404852160727,82.06532563234416,79.70620239390642,63.32570921499517,87.58904152094222,69.73333333333333,80.5921052631579,49.93414038229095,1248.98285552934
qwen3,14b,4e-07,0.02,800,27166.6,71.41638225255973,36.36363636363637,91.0538286580743,81.98566022704641,79.5429815016322,64.12363324574952,87.05324095621839,72.7,87.33766233766234,49.53070257935941,1263.068311127422
qwen3,14b,4e-07,0.02,1000,33958.2,71.67235494880546,38.38383838383838,91.66034874905232,82.06532563234416,79.4885745375408,64.5490944609174,86.80844603430012,73.69999999999999,83.66013071895425,50.099235366296256,1265.9724663831894
qwen3,14b,4e-07,0.02,1200,40749.9,71.67235494880546,37.37373737373738,91.73616376042456,82.12507468631746,79.4341675734494,64.60476097841207,86.35381897808925,72.16666666666666,84.640522875817,49.98481020899841,1250.035931303092
qwen3,14b,4e-07,0.02,1400,47541.5,71.41638225255973,37.37373737373738,91.96360879454132,82.0852419836686,79.5429815016322,64.79553791027153,87.37422261820858,72.89999999999999,82.02614379084967,49.93039325284888,1256.8590816935834
qwen3,14b,4e-07,0.02,1600,54333.1,71.75767918088737,36.86868686868687,,82.07528380800638,79.379760609358,64.87366654522194,86.50619245823303,71.83333333333333,83.22368421052632,49.70095911382919,1249.6512583939436
qwen3,14b,4e-07,0.02,1800,61124.8,71.75767918088737,36.86868686868687,91.66034874905232,82.10515833499304,79.379760609358,64.98986298384382,86.596120515787,71.1,85.16129032258064,50.41303227366789,1265.845671767195
qwen3,14b,4e-07,0.02,2000,67916.4,71.75767918088737,36.86868686868687,92.03942380591356,82.00557657837084,79.4885745375408,64.97513542765303,86.2751388537968,71.03333333333333,85.71428571428571,49.92770887000548,1241.339331774067
qwen3,14b,4e-07,0.02,2031,68969.1,71.75767918088737,36.86868686868687,91.73616376042456,82.10515833499304,79.59738846572361,65.02096329899419,86.307608257202,70.5,85.80645161290322,49.85296554506276,1249.99669514688
qwen3,14b,4e-07,0.04,200,6839.7,69.19795221843003,36.36363636363637,87.41470811220621,81.15913164708225,80.08705114254624,55.55979158175093,88.56074105595376,56.73333333333333,63.54838709677419,21.76054530180152,1115.12459049485
qwen3,14b,4e-07,0.04,400,13679.4,69.88054607508532,35.858585858585855,88.40030326004549,81.61720772754431,80.19586507072906,59.19325333367419,86.47870982326893,65.36666666666666,77.12418300653596,35.170888858596285,1192.3992331023244
qwen3,14b,4e-07,0.04,600,20519.1,70.90443686006826,37.37373737373738,89.31008339651251,81.7765385381398,80.25027203482045,61.1176731631254,86.46247512156633,68.1,79.60526315789474,39.16343818083636,1223.4310975255005
qwen3,14b,4e-07,0.04,800,27358.8,71.07508532423208,36.86868686868687,89.84078847611828,81.91595299741088,80.14145810663766,61.7924231289941,86.91710217777718,66.83333333333333,77.45098039215686,41.71063797157041,1221.6935293960644
qwen3,14b,4e-07,0.04,1000,34198.5,70.98976109215018,38.38383838383838,90.29567854435176,81.79645488946426,79.81501632208922,62.29962064795303,87.65148694353205,69.76666666666667,76.77419354838709,42.864287318868186,1218.1199603095113
qwen3,14b,4e-07,0.04,1200,41038.2,71.41638225255973,37.37373737373738,90.21986353297952,81.75662218681538,79.97823721436343,62.35115448914472,87.70894559768082,70.26666666666667,77.30263157894737,41.62470862027507,1224.814478042155
qwen3,14b,4e-07,0.04,1400,47877.9,70.98976109215018,38.38383838383838,90.44730856709629,81.83628759211312,79.70620239390642,62.566560963843045,87.72518029938342,70.16666666666666,76.94805194805194,41.79215691039992,1232.5263696125926
qwen3,14b,4e-07,0.04,1600,54717.6,70.90443686006826,37.37373737373738,90.44730856709629,81.85620394343756,79.97823721436343,62.60273870408973,87.15940371547495,68.63333333333333,76.92307692307693,40.810973262509854,1237.1251791937066
qwen3,14b,4e-07,0.04,1800,61557.3,70.90443686006826,38.38383838383838,90.82638362395754,81.7665803624776,79.5429815016322,62.59178818572924,86.67230725585891,67.56666666666666,80.26315789473685,42.17560353098384,1218.904761413367
