family,size,dataset,lr,beta,dpo_step,elapsed_time_sec,ARC-C,GPQA,GSM8K,HellaSwag,PIQA,TruthfulQA,IFEval,Arena-Hard,MT-Bench,AlpacaEval,ELO,Z-Static,Z-Dynamic,Z-All,Z-Macro
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,48,341.4,56.996587030716725,22.22222222222222,33.73768006065201,67.20772754431388,75.57127312295974,47.40687757818949,64.49066255313679,47.8,48.68421052631579,3.754982565627317,726.8814384806204,-0.17718683064145738,-1.0036025383296754,-0.477701633437173,-0.5903946844855664
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,96,682.8,56.996587030716725,23.737373737373737,33.05534495830174,67.33718382792271,75.0272034820457,47.287623162435686,63.952368604192436,49.266666666666666,51.935483870967744,4.180928855164915,738.8271791075158,-0.2110245671083279,-0.546242122476451,-0.33292185996946355,-0.3786333447923894
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,144,1024.2,56.655290102389074,21.71717171717172,34.495830174374525,67.26747659828719,75.29923830250273,47.39830101832187,63.35910938531985,49.3,51.31578947368421,3.851818695483276,737.049674279788,-0.598547750505554,-0.9653845818100397,-0.7319429618890033,-0.7819661661577968
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,192,1365.5,56.74061433447098,22.727272727272727,34.11675511751327,67.24756024696276,75.29923830250273,47.37181550231857,65.02646311786062,48.233333333333334,50.993377483443716,3.9943947885170674,715.7823145426071,-0.1124767968342627,-1.374688316242643,-0.5714628038918556,-0.7435825565384528
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,240,1706.9,56.996587030716725,21.21212121212121,33.35860500379076,67.34714200358495,75.1360174102285,47.3447059105215,63.984838007597624,49.633333333333326,51.31578947368421,4.573887930387046,753.9186149358499,-0.7374623431056158,-0.853660711596448,-0.7797162952841002,-0.7955615273510319
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,288,2048.3,57.25255972696246,22.22222222222222,33.73768006065201,67.33718382792271,75.1904243743199,47.299364154097816,64.64054264906005,50.33333333333333,52.317880794701985,4.002607929591288,761.0625329220985,-0.2944687053381479,-0.6304874416615539,-0.4166573367284773,-0.46247807349985093
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,336,2389.7,56.8259385665529,22.727272727272727,33.05534495830174,67.167894841665,75.57127312295974,47.380134558036175,64.71922277335248,47.3,50.324675324675326,3.8010643362935226,745.1794628815492,-0.48421016511495624,-0.9120193583377206,-0.6397771444686887,-0.6981147617263385
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,384,2731.1,56.655290102389074,21.71717171717172,33.73768006065201,67.26747659828719,75.35364526659413,47.25313001776822,65.15512174364021,50.43333333333333,51.633986928104584,4.403141818103882,757.09995576074,-0.49072101045845207,-0.6850866823238645,-0.5613994365913293,-0.5879038463911583
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,432,3072.5,57.081911262798634,23.232323232323232,33.131159969673995,67.1579366660028,75.78890097932536,47.28148257237573,64.91282020594245,51.166666666666664,53.94736842105263,4.113314390194643,760.1687529333117,-0.3890157652317465,-0.6338776336978988,-0.4780564446739838,-0.5114466994648227
qwen3,1.7b,ultrafeedback_binarized,1e-06,0.02,478,3399.6,56.655290102389074,22.727272727272727,33.131159969673995,67.25751842262497,75.29923830250273,47.32859478347331,66.08559732620559,49.26666666666666,50.967741935483865,4.625755258935885,758.0087846319757,-0.5076425689247394,-0.656202245450469,-0.5616642694795502,-0.5819224071876041
